Community College	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
Cabrillo College	0.8064516129032258	1.0	0.36363636363636365	0.6436507936507937	0.9545454545454546	0.3108946608946609
American River College	0.7931034482758621	1.0	0.2857142857142857	0.6478036175710595	0.8987179487179487	0.2509143311468892
Palomar College	0.7828282828282829	1.0	0.17391304347826086	0.6286945812807883	0.8630268199233717	0.23433223864258346
Las Positas College	0.7777777777777778	1.0	0.3055555555555556	0.5633468834688347	0.9016129032258065	0.3382660197569718
Diablo Valley College	0.7413793103448276	1.0	0.34782608695652173	0.6398809523809523	0.975	0.33511904761904765
Pasadena City College	0.7413793103448276	1.0	0.2857142857142857	0.5707785642062689	0.8345454545454545	0.26376689033918554
Cosumnes River College	0.7316341829085458	1.0	0.2857142857142857	0.6432539682539683	0.886039886039886	0.24278591778591774
Santa Rosa Junior College	0.7272727272727273	1.0	0.1935483870967742	0.5178571428571429	0.8888888888888888	0.37103174603174593
Butte College	0.7231800766283525	1.0	0.14285714285714285	0.44585253456221197	0.8429629629629629	0.39711042840075095
Foothill College	0.7222222222222222	1.0	0.2857142857142857	0.6428571428571429	0.8518518518518519	0.20899470899470896
Madera Community College	0.71875	1.0	0.27586206896551724	0.5267857142857143	0.8987179487179487	0.37193223443223444
Evergreen Valley College	0.7159498207885304	1.0	0.2926829268292683	0.5380952380952381	0.8916666666666666	0.35357142857142854
City College of San Francisco	0.7159498207885304	1.0	0.13043478260869565	0.6003694581280787	0.9046875	0.30431804187192124
Sacramento City College	0.7159498207885304	1.0	0.1935483870967742	0.6116941529235382	0.8488888888888889	0.23719473596535068
Monterey Peninsula College	0.7159498207885304	1.0	0.1935483870967742	0.6003694581280787	0.9040464743589743	0.3036770162308956
Glendale Community College	0.7096774193548387	1.0	0.34782608695652173	0.47329888027562445	0.8969938107869142	0.42369493051128976
Canada College	0.7096774193548387	1.0	0.0	0.5581395348837209	0.8888888888888888	0.3307493540051679
Folsom Lake College	0.7066905615292712	1.0	0.2857142857142857	0.6003694581280787	0.8368965517241379	0.23652709359605917
Cerritos College	0.7066905615292712	1.0	0.14285714285714285	0.510840108401084	0.9051724137931034	0.39433230539201947
Orange Coast College	0.7037037037037037	1.0	0.0	0.6129032258064516	0.8181818181818182	0.2052785923753666
College of San Mateo	0.6909814323607427	1.0	0.13043478260869565	0.5746753246753247	0.8611111111111112	0.2864357864357865
San Joaquin Delta College	0.6909814323607427	1.0	0.1935483870967742	0.4637096774193548	0.8898050974512743	0.4260954200319195
Contra Costa College	0.6896551724137931	1.0	0.2222222222222222	0.48303287380699894	0.8170189098998888	0.33398603609288985
Santa Barbara City College	0.6896551724137931	1.0	0.2857142857142857	0.5185185185185185	0.8518518518518519	0.33333333333333337
Irvine Valley College	0.6896551724137931	1.0	0.2857142857142857	0.4907407407407407	0.9018429487179487	0.411102207977208
Ohlone College	0.6876503608660787	1.0	0.1935483870967742	0.4840201850294365	0.8993589743589744	0.4153387893295379
Riverside City College	0.68	1.0	0.0	0.43716931216931215	0.835016835016835	0.39784752284752284
Cuesta College	0.68	1.0	0.14285714285714285	0.5089285714285714	0.835016835016835	0.3260882635882636
Merced College	0.68	1.0	0.14285714285714285	0.44971264367816094	0.8931623931623931	0.44344974948423216
Fresno City College	0.68	1.0	0.14285714285714285	0.5568475452196382	0.8577441077441077	0.3008965625244695
Modesto Junior College	0.68	1.0	0.14285714285714285	0.45161290322580644	0.8518518518518519	0.4002389486260454
Solano Community College	0.68	1.0	0.08571428571428572	0.37209302325581395	0.7931034482758621	0.42101042502004815
Southwestern College	0.6755813953488372	1.0	0.17391304347826086	0.5087632275132276	0.8429629629629629	0.33419973544973536
Santa Monica College	0.6694805194805195	1.0	0.2857142857142857	0.5324074074074074	0.7430555555555556	0.21064814814814814
Santa Ana College	0.6683760683760684	1.0	0.13043478260869565	0.37094155844155846	0.885	0.5140584415584415
Golden West College	0.6655813953488372	1.0	0.17391304347826086	0.45205026455026454	0.8420138888888888	0.3899636243386243
De Anza College	0.6655813953488372	1.0	0.13043478260869565	0.5	0.886039886039886	0.38603988603988604
Imperial Valley College	0.6655813953488372	1.0	0.0	0.37533875338753386	0.8206896551724138	0.4453509017848799
East Los Angeles College	0.6622222222222223	1.0	0.13793103448275862	0.3708010335917312	0.887962962962963	0.5171619293712317
Skyline College	0.6622222222222223	1.0	0.0	0.5053885422575156	0.859514687100894	0.35412614484337834
Long Beach City College	0.6622222222222223	1.0	0.0	0.37728405315614616	0.8993589743589744	0.5220749212028282
College of the Desert	0.6571428571428571	1.0	0.10344827586206896	0.4362618432385874	0.8982758620689655	0.46201401883037807
Reedley College	0.6551724137931034	1.0	0.27586206896551724	0.5267857142857143	0.8987179487179487	0.37193223443223444
Chabot College	0.6511627906976745	1.0	0.2857142857142857	0.6086956521739131	0.8518518518518519	0.24315619967793878
Cuyamaca College	0.6511627906976745	1.0	0.14285714285714285	0.4556878306878307	0.7381720430107528	0.2824842123229221
Grossmont College	0.6511627906976745	1.0	0.0	0.4878048780487805	0.84	0.3521951219512195
Antelope Valley College	0.6511627906976745	1.0	0.0	0.5495818399044206	0.8200431034482758	0.27046126354385525
Moorpark College	0.6478036175710595	1.0	0.2857142857142857	0.5825426944971537	0.7633333333333333	0.18079063883617963
Los Angeles Pierce College	0.6444444444444445	1.0	0.10344827586206896	0.42857142857142855	0.8275862068965517	0.39901477832512317
Sierra College	0.6444444444444445	1.0	0.13793103448275862	0.45161290322580644	0.8518518518518519	0.4002389486260454
El Camino College	0.6444444444444445	1.0	0.17391304347826086	0.5267857142857143	0.7974358974358975	0.2706501831501832
Fullerton College	0.6444444444444445	1.0	0.13043478260869565	0.3951219512195122	0.8287037037037037	0.4335817524841915
Moreno Valley College	0.6444444444444445	1.0	0.0	0.4739374498797113	0.8027777777777778	0.3288403278980665
