University	Median coverage	Max coverage	Min coverage	Q1	Q2	IQR
UCD	1.0	1.0	0.26666666666666666	1.0	1.0	0.0
UCLA	1.0	1.0	0.5	1.0	1.0	0.0
Humboldt	1.0	1.0	0.5	1.0	1.0	0.0
CSUMB	1.0	1.0	0.5	1.0	1.0	0.0
Sonoma	1.0	1.0	0.0	1.0	1.0	0.0
CSUSM	1.0	1.0	0.3333333333333333	0.8	1.0	0.19999999999999996
CSUFresno	1.0	1.0	0.5	1.0	1.0	0.0
CSUCI	1.0	1.0	0.2727272727272727	1.0	1.0	0.0
SDSU	1.0	1.0	1.0	1.0	1.0	0.0
SJSU	1.0	1.0	0.0	1.0	1.0	0.0
Chico	1.0	1.0	0.0	1.0	1.0	0.0
CSUN	1.0	1.0	0.7692307692307693	1.0	1.0	0.0
CSUB	1.0	1.0	0.0	1.0	1.0	0.0
CSULB	1.0	1.0	0.0	1.0	1.0	0.0
CSULA	1.0	1.0	0.0	0.7272727272727273	1.0	0.2727272727272727
CPSLO	1.0	1.0	0.75	1.0	1.0	0.0
UCM	0.8	1.0	0.2	0.8	0.8	0.0
CSUSB	0.8	0.8	0.26666666666666666	0.8	0.8	0.0
CSUS	0.7857142857142857	0.7857142857142857	0.0	0.5714285714285714	0.7857142857142857	0.2142857142857143
CSUDH	0.7692307692307693	0.7692307692307693	0.0	0.7692307692307693	0.7692307692307693	0.0
UCI	0.75	0.75	0.25	0.75	0.75	0.0
CPP	0.7272727272727273	1.0	0.0	0.7272727272727273	0.7272727272727273	0.0
CSUEB	0.7	1.0	0.0	0.7	0.7	0.0
UCSB	0.6666666666666666	0.6666666666666666	0.16666666666666666	0.6666666666666666	0.6666666666666666	0.0
CSUF	0.6111111111111112	0.7777777777777778	0.0	0.4444444444444444	0.6111111111111112	0.16666666666666674
UCSD	0.6	0.6	0.2	0.6	0.6	0.0
SFSU	0.5333333333333333	0.7857142857142857	0.26666666666666666	0.5333333333333333	0.7857142857142857	0.2523809523809524
UCSC	0.5	0.5	0.25	0.5	0.5	0.0
CSUStan	0.36363636363636365	0.7272727272727273	0.0	0.0	0.7272727272727273	0.7272727272727273
UCB	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.0
UCR	0.0	0.0	0.0	0.0	0.0	0.0
