University	Total	max	min	median	mean	quantiles	Values
CSUF	11	0.7272727272727273	0.0	0.5454545454545454	0.5047846889952153	[0.45454545 0.54545455 0.63636364]	[0.6363636363636364, 0.45454545454545453, 0.45454545454545453, 0.5454545454545454, 0.45454545454545453, 0.6363636363636364, 0.36363636363636365, 0.45454545454545453, 0.45454545454545453, 0.6363636363636364, 0.6363636363636364, 0.36363636363636365, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.2727272727272727, 0.6363636363636364, 0.45454545454545453, 0.7272727272727273, 0.6363636363636364, 0.36363636363636365, 0.6363636363636364, 0.45454545454545453, 0.6363636363636364, 0.6363636363636364, 0.18181818181818182, 0.6363636363636364, 0.7272727272727273, 0.45454545454545453, 0.45454545454545453, 0.6363636363636364, 0.5454545454545454, 0.7272727272727273, 0.6363636363636364, 0.5454545454545454, 0.5454545454545454, 0.36363636363636365, 0.6363636363636364, 0.7272727272727273, 0.5454545454545454, 0.45454545454545453, 0.5454545454545454, 0.6363636363636364, 0.0, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.18181818181818182, 0.6363636363636364, 0.6363636363636364, 0.5454545454545454, 0.7272727272727273, 0.6363636363636364, 0.36363636363636365, 0.6363636363636364, 0.45454545454545453, 0.6363636363636364, 0.36363636363636365, 0.0, 0.2727272727272727, 0.6363636363636364, 0.6363636363636364, 0.18181818181818182, 0.5454545454545454, 0.5454545454545454, 0.45454545454545453, 0.5454545454545454, 0.45454545454545453, 0.45454545454545453, 0.36363636363636365, 0.6363636363636364, 0.5454545454545454, 0.5454545454545454, 0.2727272727272727, 0.5454545454545454, 0.5454545454545454, 0.7272727272727273, 0.18181818181818182, 0.36363636363636365, 0.6363636363636364, 0.45454545454545453, 0.6363636363636364, 0.45454545454545453, 0.18181818181818182, 0.5454545454545454, 0.7272727272727273, 0.5454545454545454, 0.2727272727272727, 0.18181818181818182, 0.5454545454545454, 0.18181818181818182, 0.6363636363636364, 0.7272727272727273, 0.18181818181818182, 0.6363636363636364, 0.5454545454545454, 0.2727272727272727, 0.7272727272727273, 0.6363636363636364, 0.7272727272727273, 0.6363636363636364, 0.2727272727272727, 0.7272727272727273, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.36363636363636365, 0.18181818181818182, 0.18181818181818182, 0.5454545454545454, 0.7272727272727273, 0.5454545454545454, 0.2727272727272727]
Sonoma	7	0.8571428571428571	0.0	0.7142857142857143	0.600250626566416	[0.57142857 0.71428571 0.71428571]	[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.42857142857142855, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.2857142857142857, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.5714285714285714, 0.42857142857142855, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.42857142857142855, 0.8571428571428571, 0.7142857142857143, 0.14285714285714285, 0.42857142857142855, 0.7142857142857143, 0.8571428571428571, 0.7142857142857143, 0.8571428571428571, 0.7142857142857143, 0.7142857142857143, 0.42857142857142855, 0.7142857142857143, 0.5714285714285714, 0.8571428571428571, 0.5714285714285714, 0.7142857142857143, 0.42857142857142855, 0.0, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.8571428571428571, 0.7142857142857143, 0.7142857142857143, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 0.14285714285714285, 0.2857142857142857, 0.7142857142857143, 0.5714285714285714, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 0.42857142857142855, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.14285714285714285, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.14285714285714285, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.7142857142857143, 0.14285714285714285, 0.5714285714285714, 0.42857142857142855, 0.7142857142857143, 0.7142857142857143, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.14285714285714285]
CPSLO	14	0.8571428571428571	0.21428571428571427	0.6428571428571429	0.5989974937343359	[0.5        0.64285714 0.71428571]	[0.7142857142857143, 0.6428571428571429, 0.5, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.5714285714285714, 0.5, 0.5, 0.7142857142857143, 0.8571428571428571, 0.5714285714285714, 0.7857142857142857, 0.6428571428571429, 0.5, 0.35714285714285715, 0.8571428571428571, 0.6428571428571429, 0.7142857142857143, 0.6428571428571429, 0.42857142857142855, 0.7857142857142857, 0.7142857142857143, 0.7142857142857143, 0.6428571428571429, 0.42857142857142855, 0.8571428571428571, 0.7142857142857143, 0.35714285714285715, 0.5714285714285714, 0.6428571428571429, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.6428571428571429, 0.5714285714285714, 0.5, 0.5714285714285714, 0.6428571428571429, 0.7142857142857143, 0.5, 0.5714285714285714, 0.5, 0.21428571428571427, 0.5714285714285714, 0.7857142857142857, 0.6428571428571429, 0.21428571428571427, 0.8571428571428571, 0.7142857142857143, 0.7142857142857143, 0.5, 0.7142857142857143, 0.6428571428571429, 0.5714285714285714, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.21428571428571427, 0.35714285714285715, 0.7142857142857143, 0.7142857142857143, 0.35714285714285715, 0.5, 0.5714285714285714, 0.6428571428571429, 0.7142857142857143, 0.5714285714285714, 0.7857142857142857, 0.5, 0.6428571428571429, 0.7142857142857143, 0.5714285714285714, 0.6428571428571429, 0.7142857142857143, 0.5714285714285714, 0.7857142857142857, 0.2857142857142857, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 0.6428571428571429, 0.7142857142857143, 0.2857142857142857, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.6428571428571429, 0.21428571428571427, 0.5714285714285714, 0.35714285714285715, 0.7857142857142857, 0.7857142857142857, 0.21428571428571427, 0.7857142857142857, 0.7142857142857143, 0.6428571428571429, 0.5, 0.7142857142857143, 0.5, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.5, 0.7857142857142857, 0.6428571428571429, 0.7857142857142857, 0.8571428571428571, 0.2857142857142857, 0.21428571428571427, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.2857142857142857]
Chico	6	1.0	0.0	1.0	0.8845029239766082	[0.83333333 1.         1.        ]	[1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 0.8333333333333334, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.16666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 0.6666666666666666, 0.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 0.3333333333333333, 0.5, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 0.8333333333333334, 1.0, 0.3333333333333333, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 0.6666666666666666, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0, 1.0, 0.5]
CSUSM	8	1.0	0.125	0.875	0.8125	[0.75  0.875 1.   ]	[1.0, 0.75, 0.875, 1.0, 1.0, 0.625, 0.75, 1.0, 0.875, 0.875, 1.0, 0.125, 1.0, 0.5]
SDSU	12	0.9166666666666666	0.6666666666666666	0.9166666666666666	0.8645833333333333	[0.875      0.91666667 0.91666667]	[0.9166666666666666, 0.75, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.6666666666666666]
SJSU	9	1.0	0.0	0.8888888888888888	0.8304093567251462	[0.77777778 0.88888889 1.        ]	[1.0, 0.7777777777777778, 0.7777777777777778, 1.0, 0.7777777777777778, 1.0, 0.5555555555555556, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 1.0, 1.0, 1.0, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 1.0, 1.0, 0.7777777777777778, 1.0, 1.0, 1.0, 0.5555555555555556, 1.0, 1.0, 0.7777777777777778, 0.7777777777777778, 1.0, 0.6666666666666666, 0.5555555555555556, 0.7777777777777778, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7777777777777778, 0.6666666666666666, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 0.7777777777777778, 0.7777777777777778, 0.0, 0.5555555555555556, 0.8888888888888888, 0.5555555555555556, 0.4444444444444444, 1.0, 0.7777777777777778, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.8888888888888888, 1.0, 1.0, 1.0, 0.4444444444444444, 0.6666666666666666, 0.8888888888888888, 0.6666666666666666, 0.5555555555555556, 1.0, 0.7777777777777778, 1.0, 1.0, 0.7777777777777778, 0.8888888888888888, 1.0, 0.5555555555555556, 0.7777777777777778, 0.7777777777777778, 0.6666666666666666, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.4444444444444444, 0.8888888888888888, 0.8888888888888888, 0.7777777777777778, 1.0, 1.0, 0.7777777777777778, 0.7777777777777778, 1.0, 1.0, 1.0, 0.4444444444444444, 1.0, 0.4444444444444444, 1.0, 0.8888888888888888, 0.5555555555555556, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.8888888888888888, 1.0, 0.8888888888888888, 1.0, 0.8888888888888888, 0.7777777777777778, 1.0, 1.0, 0.4444444444444444, 0.5555555555555556, 0.8888888888888888, 0.7777777777777778, 1.0]
CSULA	12	0.9166666666666666	0.0	0.5833333333333334	0.5253623188405797	[0.33333333 0.58333333 0.75      ]	[0.5, 0.8333333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.75, 0.5, 0.25, 0.5833333333333334, 0.6666666666666666, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.08333333333333333, 0.5833333333333334, 0.75, 0.25, 0.75, 0.8333333333333334, 0.08333333333333333, 0.8333333333333334, 0.4166666666666667, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.4166666666666667, 0.75, 0.8333333333333334, 0.5833333333333334, 0.4166666666666667, 0.9166666666666666, 0.3333333333333333, 0.75, 0.5833333333333334, 0.3333333333333333, 0.75, 0.3333333333333333, 0.75, 0.75, 0.5, 0.5833333333333334, 0.08333333333333333, 0.8333333333333334, 0.0, 0.9166666666666666, 0.5, 0.75, 0.25, 0.75, 0.75, 0.5833333333333334, 0.3333333333333333, 0.75, 0.16666666666666666, 0.75, 0.16666666666666666, 0.75, 0.25, 0.16666666666666666, 0.3333333333333333, 0.75, 0.75, 0.3333333333333333, 0.4166666666666667, 0.8333333333333334, 0.75, 0.5, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.75, 0.6666666666666666, 0.25, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.8333333333333334, 0.25, 0.4166666666666667, 0.08333333333333333, 0.5833333333333334, 0.3333333333333333, 0.75, 0.3333333333333333, 0.5, 0.5, 0.9166666666666666, 0.9166666666666666, 0.08333333333333333, 0.75, 0.16666666666666666, 0.5833333333333334, 0.8333333333333334, 0.25, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.4166666666666667, 0.8333333333333334, 0.4166666666666667, 0.5, 0.75, 0.5833333333333334, 0.75, 0.5, 0.4166666666666667, 0.08333333333333333, 0.25, 0.75, 0.75, 0.6666666666666666, 0.4166666666666667]
CSUMB	6	0.8333333333333334	0.16666666666666666	0.8333333333333334	0.7507246376811595	[0.83333333 0.83333333 0.83333333]	[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.5, 0.5, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.5, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.5, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.8333333333333334, 0.5, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]
CSUN	12	0.8333333333333334	0.5833333333333334	0.75	0.7395833333333334	[0.72916667 0.75       0.77083333]	[0.75, 0.8333333333333334, 0.75, 0.6666666666666666, 0.8333333333333334, 0.75, 0.75, 0.5833333333333334]
