Community College	Percent of Agreements that are fully covered	Number of fully covered agreements
College of San Mateo	0.14285714285714285	4
Evergreen Valley College	0.17857142857142858	5
Las Positas College	0.14814814814814814	4
Contra Costa College	0.07407407407407407	2
Los Angeles Harbor College	0.1111111111111111	3
Cabrillo College	0.25925925925925924	7
Glendale Community College	0.1111111111111111	3
Palomar College	0.10714285714285714	3
Orange Coast College	0.08	2
Laney College	0.04	1
Los Angeles Pierce College	0.12	3
Diablo Valley College	0.2727272727272727	6
Los Angeles City College	0.14285714285714285	4
College of Marin	0.037037037037037035	1
Merritt College	0.07142857142857142	2
Santa Ana College	0.15384615384615385	4
American River College	0.18518518518518517	5
Mission College	0.037037037037037035	1
City College of San Francisco	0.19230769230769232	5
Reedley College	0.18518518518518517	5
Los Angeles Valley College	0.0	0
Los Angeles Mission College	0.16	4
Ohlone College	0.15384615384615385	4
Pasadena City College	0.11538461538461539	3
Foothill College	0.12	3
Golden West College	0.11538461538461539	3
Santa Rosa Junior College	0.12	3
Berkeley City College	0.0	0
Mount San Antonio College	0.07692307692307693	2
Saddleback College	0.11538461538461539	3
Santiago Canyon College	0.11538461538461539	3
Canada College	0.16	4
Crafton Hills College	0.14814814814814814	4
Cypress College	0.07692307692307693	2
Riverside City College	0.1111111111111111	3
Bakersfield College	0.12	3
Santa Barbara City College	0.12	3
Sierra College	0.12	3
Chabot College	0.04	1
El Camino College	0.043478260869565216	1
MiraCosta College	0.12	3
San Joaquin Delta College	0.13636363636363635	3
Allan Hancock College	0.13043478260869565	3
De Anza College	0.18181818181818182	4
East Los Angeles College	0.18181818181818182	4
Hartnell College	0.18181818181818182	4
Irvine Valley College	0.17391304347826086	4
Sacramento City College	0.18181818181818182	4
Skyline College	0.13636363636363635	3
Monterey Peninsula College	0.18181818181818182	4
Fullerton College	0.08695652173913043	2
San Jose City College	0.09090909090909091	2
Santa Monica College	0.09090909090909091	2
Southwestern College	0.16666666666666666	4
Moorpark College	0.09090909090909091	2
College of the Canyons	0.13636363636363635	3
Cosumnes River College	0.18181818181818182	4
Folsom Lake College	0.13636363636363635	3
Norco College	0.13043478260869565	3
Moreno Valley College	0.13043478260869565	3
Clovis Community College	0.18181818181818182	4
Madera Community College	0.18518518518518517	5
College of the Sequoias	0.14285714285714285	4
Butte College	0.14285714285714285	4
Cerro Coso Community College	0.034482758620689655	1
Columbia College	0.0	0
Cuesta College	0.1111111111111111	3
Merced College	0.14814814814814814	4
Victor Valley College	0.07407407407407407	2
Los Angeles Trade Technical College	0.0	0
College of the Desert	0.1111111111111111	3
Compton College	0.0	0
Fresno City College	0.1111111111111111	3
Shasta College	0.14814814814814814	4
Lake Tahoe Community College	0.0	0
San Diego Miramar College	0.14285714285714285	4
Modesto Junior College	0.12	3
Mt. San Jacinto College	0.1111111111111111	3
San Diego City College	0.0	0
Los Medanos College	0.12	3
Rio Hondo College	0.11538461538461539	3
Chaffey College	0.11538461538461539	3
Gavilan College	0.2	5
Napa Valley College	0.08	2
West Valley College	0.08	2
College of the Redwoods	0.0	0
Oxnard College	0.0	0
Yuba College	0.12	3
West Los Angeles College	0.12	3
Solano Community College	0.12	3
Ventura College	0.12	3
Citrus College	0.11538461538461539	3
Cuyamaca College	0.07407407407407407	2
Mendocino College	0.16	4
San Diego Mesa College	0.1111111111111111	3
College of the Siskiyous	0.16	4
Cerritos College	0.16666666666666666	4
Coastline Community College	0.0	0
Grossmont College	0.12	3
Imperial Valley College	0.07692307692307693	2
College of Alameda	0.0	0
Copper Mountain College	0.125	3
Antelope Valley College	0.13043478260869565	3
Los Angeles Southwest College	0.13636363636363635	3
San Bernardino Valley College	0.13043478260869565	3
Long Beach City College	0.13636363636363635	3
West Hills College Lemoore	0.0	0
Woodland Community College	0.0	0
Barstow Community College	0.1111111111111111	3
Palo Verde College	0.0	0
West Hills College Coalinga	0.0	0
Lassen Community College	0.0	0
Taft College	0.0	0
Feather River College	0.0	0
Porterville College	0.0	0
