University,Values
CSUF,7
CSUF,5
CSUF,5
CSUF,6
CSUF,5
CSUF,7
CSUF,4
CSUF,5
CSUF,5
CSUF,7
CSUF,7
CSUF,4
CSUF,6
CSUF,6
CSUF,6
CSUF,3
CSUF,7
CSUF,5
CSUF,8
CSUF,7
CSUF,4
CSUF,7
CSUF,5
CSUF,7
CSUF,7
CSUF,2
CSUF,7
CSUF,8
CSUF,5
CSUF,5
CSUF,7
CSUF,6
CSUF,8
CSUF,7
CSUF,6
CSUF,6
CSUF,4
CSUF,7
CSUF,8
CSUF,6
CSUF,5
CSUF,6
CSUF,7
CSUF,0
CSUF,7
CSUF,7
CSUF,7
CSUF,2
CSUF,7
CSUF,7
CSUF,6
CSUF,8
CSUF,7
CSUF,4
CSUF,7
CSUF,5
CSUF,7
CSUF,4
CSUF,0
CSUF,3
CSUF,7
CSUF,7
CSUF,2
CSUF,6
CSUF,6
CSUF,5
CSUF,6
CSUF,5
CSUF,5
CSUF,4
CSUF,7
CSUF,6
CSUF,6
CSUF,3
CSUF,6
CSUF,6
CSUF,8
CSUF,2
CSUF,4
CSUF,7
CSUF,5
CSUF,7
CSUF,5
CSUF,2
CSUF,6
CSUF,8
CSUF,6
CSUF,3
CSUF,2
CSUF,6
CSUF,2
CSUF,7
CSUF,8
CSUF,2
CSUF,7
CSUF,6
CSUF,3
CSUF,8
CSUF,7
CSUF,8
CSUF,7
CSUF,3
CSUF,8
CSUF,6
CSUF,6
CSUF,6
CSUF,7
CSUF,4
CSUF,2
CSUF,2
CSUF,6
CSUF,8
CSUF,6
CSUF,3
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,4
Sonoma,4
Sonoma,5
Sonoma,5
Sonoma,3
Sonoma,4
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,2
Sonoma,5
Sonoma,4
Sonoma,5
Sonoma,4
Sonoma,3
Sonoma,5
Sonoma,4
Sonoma,5
Sonoma,5
Sonoma,3
Sonoma,6
Sonoma,5
Sonoma,1
Sonoma,3
Sonoma,5
Sonoma,6
Sonoma,5
Sonoma,6
Sonoma,5
Sonoma,5
Sonoma,3
Sonoma,5
Sonoma,4
Sonoma,6
Sonoma,4
Sonoma,5
Sonoma,3
Sonoma,0
Sonoma,4
Sonoma,4
Sonoma,5
Sonoma,1
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,4
Sonoma,6
Sonoma,5
Sonoma,5
Sonoma,2
Sonoma,5
Sonoma,5
Sonoma,1
Sonoma,2
Sonoma,5
Sonoma,4
Sonoma,1
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,6
Sonoma,6
Sonoma,2
Sonoma,5
Sonoma,5
Sonoma,3
Sonoma,6
Sonoma,2
Sonoma,4
Sonoma,4
Sonoma,5
Sonoma,1
Sonoma,5
Sonoma,4
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,1
Sonoma,5
Sonoma,6
Sonoma,6
Sonoma,5
Sonoma,1
Sonoma,4
Sonoma,3
Sonoma,5
Sonoma,5
Sonoma,1
Sonoma,5
Sonoma,5
Sonoma,4
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,4
Sonoma,4
Sonoma,5
Sonoma,4
Sonoma,5
Sonoma,5
Sonoma,4
Sonoma,1
Sonoma,1
Sonoma,5
Sonoma,5
Sonoma,5
Sonoma,1
CPSLO,10
CPSLO,9
CPSLO,7
CPSLO,10
CPSLO,10
CPSLO,8
CPSLO,8
CPSLO,7
CPSLO,7
CPSLO,10
CPSLO,12
CPSLO,8
CPSLO,11
CPSLO,9
CPSLO,7
CPSLO,5
CPSLO,12
CPSLO,9
CPSLO,10
CPSLO,9
CPSLO,6
CPSLO,11
CPSLO,10
CPSLO,10
CPSLO,9
CPSLO,6
CPSLO,12
CPSLO,10
CPSLO,5
CPSLO,8
CPSLO,9
CPSLO,10
CPSLO,8
CPSLO,10
CPSLO,9
CPSLO,8
CPSLO,7
CPSLO,8
CPSLO,9
CPSLO,10
CPSLO,7
CPSLO,8
CPSLO,7
CPSLO,3
CPSLO,8
CPSLO,11
CPSLO,9
CPSLO,3
CPSLO,12
CPSLO,10
CPSLO,10
CPSLO,7
CPSLO,10
CPSLO,9
CPSLO,8
CPSLO,6
CPSLO,8
CPSLO,8
CPSLO,3
CPSLO,5
CPSLO,10
CPSLO,10
CPSLO,5
CPSLO,7
CPSLO,8
CPSLO,9
CPSLO,10
CPSLO,8
CPSLO,11
CPSLO,7
CPSLO,9
CPSLO,10
CPSLO,8
CPSLO,9
CPSLO,10
CPSLO,8
CPSLO,11
CPSLO,4
CPSLO,10
CPSLO,8
CPSLO,10
CPSLO,9
CPSLO,10
CPSLO,4
CPSLO,9
CPSLO,10
CPSLO,10
CPSLO,9
CPSLO,3
CPSLO,8
CPSLO,5
CPSLO,11
CPSLO,11
CPSLO,3
CPSLO,11
CPSLO,10
CPSLO,9
CPSLO,7
CPSLO,10
CPSLO,7
CPSLO,8
CPSLO,9
CPSLO,9
CPSLO,7
CPSLO,11
CPSLO,9
CPSLO,11
CPSLO,12
CPSLO,4
CPSLO,3
CPSLO,8
CPSLO,8
CPSLO,10
CPSLO,4
Chico,6
Chico,6
Chico,4
Chico,6
Chico,6
Chico,6
Chico,6
Chico,4
Chico,6
Chico,6
Chico,5
Chico,6
Chico,6
Chico,6
Chico,6
Chico,3
Chico,6
Chico,6
Chico,6
Chico,6
Chico,5
Chico,6
Chico,5
Chico,6
Chico,6
Chico,4
Chico,6
Chico,6
Chico,1
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,4
Chico,6
Chico,6
Chico,6
Chico,5
Chico,6
Chico,4
Chico,0
Chico,6
Chico,6
Chico,6
Chico,2
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,5
Chico,6
Chico,6
Chico,2
Chico,3
Chico,6
Chico,6
Chico,2
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,5
Chico,6
Chico,6
Chico,6
Chico,4
Chico,6
Chico,5
Chico,6
Chico,2
Chico,5
Chico,6
Chico,6
Chico,6
Chico,6
Chico,3
Chico,6
Chico,6
Chico,6
Chico,6
Chico,2
Chico,6
Chico,4
Chico,6
Chico,6
Chico,2
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,4
Chico,6
Chico,6
Chico,6
Chico,6
Chico,6
Chico,2
Chico,2
Chico,6
Chico,6
Chico,6
Chico,3
CSUSM,8
CSUSM,6
CSUSM,7
CSUSM,8
CSUSM,8
CSUSM,5
CSUSM,6
CSUSM,8
CSUSM,7
CSUSM,7
CSUSM,8
CSUSM,1
CSUSM,8
CSUSM,4
SDSU,11
SDSU,9
SDSU,11
SDSU,11
SDSU,11
SDSU,11
SDSU,11
SDSU,8
SJSU,9
SJSU,7
SJSU,7
SJSU,9
SJSU,7
SJSU,9
SJSU,5
SJSU,7
SJSU,7
SJSU,7
SJSU,9
SJSU,9
SJSU,9
SJSU,5
SJSU,5
SJSU,5
SJSU,9
SJSU,9
SJSU,7
SJSU,9
SJSU,9
SJSU,9
SJSU,5
SJSU,9
SJSU,9
SJSU,7
SJSU,7
SJSU,9
SJSU,6
SJSU,5
SJSU,7
SJSU,9
SJSU,9
SJSU,9
SJSU,9
SJSU,9
SJSU,7
SJSU,6
SJSU,8
SJSU,8
SJSU,9
SJSU,9
SJSU,7
SJSU,7
SJSU,0
SJSU,5
SJSU,8
SJSU,5
SJSU,4
SJSU,9
SJSU,7
SJSU,9
SJSU,6
SJSU,9
SJSU,6
SJSU,8
SJSU,9
SJSU,9
SJSU,9
SJSU,4
SJSU,6
SJSU,8
SJSU,6
SJSU,5
SJSU,9
SJSU,7
SJSU,9
SJSU,9
SJSU,7
SJSU,8
SJSU,9
