Evergreen Valley College	[['ECS 020 - Discrete Mathematics For Computer Science (4.00)']]	[[['COMSC 080 - Discrete Structures (3.00)'], ['MATH 070 - Discrete Mathematics (4.00)']]]
Evergreen Valley College	[['ECS 036A - Programming & Problem Solving (4.00)', 'ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00)', 'ECS 036C - Data Structures, Algorithms, & Programming (4.00)']]	[[['ENGR 050 - Introduction to Computing (4.00)']], [['No Course Articulated']]]
Evergreen Valley College	[['ECS 050 - Computer Organization & Machine-Dependent Programming (4.00)']]	[[['COMSC 077 - Introduction to Computer Systems (3.00)']]]
Evergreen Valley College	[['MAT 021A - Calculus (4.00)']]	[[['MATH 066 - Calculus I Late Transcendentals for STEM (4.00)'], ['MATH 071 - Calculus I with Analytic Geometry (5.00)']]]
Evergreen Valley College	[['MAT 021B - Calculus (4.00)']]	[[['MATH 067 - Calculus II Late Transcendentals for STEM (4.00)'], ['MATH 072 - Calculus II with Analytic Geometry (5.00)']]]
Evergreen Valley College	[['MAT 021C - Calculus (4.00)']]	[[['MATH 073 - Multivariable Calculus (5.00)']]]
Evergreen Valley College	[['MAT 022A - Linear Algebra (3.00)'], ['MAT 027A - Linear Algebra with Applications to Biology (4.00)'], ['MAT 067 - Modern Linear Algebra (4.00)']]	[[['MATH 079 - Linear Algebra (3.00)']]]
Evergreen Valley College	[['BIS 002A - Introduction to Biology: Essentials of Life on Earth (5.00)']]	[[['BIOL 004A - General Principles and Cell Biology (5.00)']]]
Evergreen Valley College	[['BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00)']]	[[['BIOL 004A - General Principles and Cell Biology (5.00)', 'BIOL 004B - Organismal Biology and Biodiversity (5.00)']]]
Evergreen Valley College	[['BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00)']]	[[['BIOL 004B - Organismal Biology and Biodiversity (5.00)']]]
Los Angeles City College	[['ECS 020 - Discrete Mathematics For Computer Science (4.00)']]	[[['MATH 272 - Methods of Discrete Mathematics (5.00)']]]
Los Angeles City College	[['ECS 036A - Programming & Problem Solving (4.00)', 'ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00)', 'ECS 036C - Data Structures, Algorithms, & Programming (4.00)']]	[[['CS 116 - Programming In C++ (3.00)']], [['CS 216 - Object-Oriented Programming In C++ (3.00)']]]
Los Angeles City College	[['ECS 050 - Computer Organization & Machine-Dependent Programming (4.00)']]	[[['CS 130 - Introduction To Computer Architecture and Organization (3.00)']]]
Los Angeles City College	[['MAT 021A - Calculus (4.00)']]	[[['MATH 261 - Calculus I (5.00)']]]
Los Angeles City College	[['MAT 021B - Calculus (4.00)']]	[[['MATH 262 - Calculus II (5.00)']]]
Los Angeles City College	[['MAT 021C - Calculus (4.00)']]	[[['MATH 263 - Calculus III (5.00)']]]
Los Angeles City College	[['MAT 022A - Linear Algebra (3.00)'], ['MAT 027A - Linear Algebra with Applications to Biology (4.00)'], ['MAT 067 - Modern Linear Algebra (4.00)']]	[[['MATH 270 - Linear Algebra (3.00)']]]
Los Angeles City College	[['BIS 002A - Introduction to Biology: Essentials of Life on Earth (5.00)']]	[[['BIOLOGY 006 - General Biology I (5.00)']]]
Los Angeles City College	[['BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00)']]	[[['BIOLOGY 006 - General Biology I (5.00)', 'BIOLOGY 007 - General Biology II (5.00)']]]
Los Angeles City College	[['BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00)']]	[[['BIOLOGY 007 - General Biology II (5.00)']]]
College of Marin	[['ECS 020 - Discrete Mathematics For Computer Science (4.00)']]	[[['COMP 117 - Discrete Mathematics (3.00)'], ['MATH 117 - Discrete Mathematics (3.00)']]]
