Evergreen Valley College	[['CSE 8A - Introduction to Programming and Computational Problem Solving I (4.00)', 'CSE 8B - Introduction to Programming and Computational Problem Solving II (4.00)'], ['CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace (4.00)']]	[[['COMSC 075 - Computer Science I: Introduction to Program(3.00)']], [['COMSC 076 - Computer Science II: Introduction to Data Structures (3.00)']], [['CIT 44 - Java Programming (3.00)']]]
Evergreen Valley College	[['CSE 12 - Basic Data Structures and Object-Oriented Design (4.00)']]	[[['No Course Articulated']]]
Evergreen Valley College	[['CSE 15L - Software Tools and Techniques Laboratory (2.00)']]	[[['No Course Articulated']]]
Evergreen Valley College	[['CSE 20 - Discrete Mathematics (4.00)']]	[[['COMSC 072 - Discrete Mathematics (4.00)'], ['COMSC 080 - Discrete Structures (3.00)'], ['MATH 070 - Discrete Mathematics (4.00)']]]
Evergreen Valley College	[['CSE 21 - Mathematics for Algorithms and Systems (4.00)']]	[[['No Course Articulated']]]
Evergreen Valley College	[['CSE 30 - Computer Organization and Systems Programming (4.00)']]	[[['COMSC 077 - Introduction to Computer Systems (3.00)']]]
Evergreen Valley College	[['MATH 18 - Linear Algebra (4.00)']]	[[['MATH 079 - Linear Algebra (3.00)']]]
Evergreen Valley College	[['MATH 20A - Calculus for Science and Engineering (4.00)']]	[[['MATH 071 - Calculus I with Analytic Geometry (5.00)'], ['MATH 066 - Calculus I Late Transcendentals for STEM (4.00)']]]
Evergreen Valley College	[['MATH 20B - Calculus for Science and Engineering (4.00)']]	[[['MATH 072 - Calculus II with Analytic Geometry (5.00)'], ['MATH 067 - Calculus II Late Transcendentals for STEM (4.00)']]]
Evergreen Valley College	[['MATH 20C - Calculus and Analytic Geometry for Science and Engineering (4.00)']]	[[['MATH 073 - Multivariable Calculus (5.00)'], ['MATH 066 - Calculus I Late Transcendentals for STEM (4.00)']]]
Evergreen Valley College	[['BILD 1 - The Cell (4.00)']]	[[['BIOL 004A - General Principles and Cell Biology (5.00)', 'BIOL 004B - Organismal Biology and Biodiversity (5.00)']]]
Evergreen Valley College	[['BILD 2 - Multicellular Life (4.00)']]	[[['BIOL 004A - General Principles and Cell Biology (5.00)', 'BIOL 004B - Organismal Biology and Biodiversity (5.00)']]]
Los Angeles City College	[['CSE 8A - Introduction to Programming and Computational Problem Solving I (4.00)', 'CSE 8B - Introduction to Programming and Computational Problem Solving II (4.00)'], ['CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace (4.00)']]	[[['No Course Articulated']], [['No Course Articulated']], [['CS 113 - Programming in JAVA (3.00)']]]
Los Angeles City College	[['CSE 12 - Basic Data Structures and Object-Oriented Design (4.00)']]	[[['No Course Articulated']]]
Los Angeles City College	[['CSE 15L - Software Tools and Techniques Laboratory (2.00)']]	[[['No Course Articulated']]]
Los Angeles City College	[['CSE 20 - Discrete Mathematics (4.00)']]	[[['MATH 272 - Methods of Discrete Mathematics (5.00)']]]
Los Angeles City College	[['CSE 21 - Mathematics for Algorithms and Systems (4.00)']]	[[['No Course Articulated']]]
Los Angeles City College	[['CSE 30 - Computer Organization and Systems Programming (4.00)']]	[[['No Course Articulated']]]
Los Angeles City College	[['MATH 18 - Linear Algebra (4.00)']]	[[['MATH 270 - Linear Algebra (3.00)']]]
Los Angeles City College	[['MATH 20A - Calculus for Science and Engineering (4.00)']]	[[['MATH 261 - Calculus I (5.00)']]]
Los Angeles City College	[['MATH 20B - Calculus for Science and Engineering (4.00)']]	[[['MATH 262 - Calculus II (5.00)']]]
Los Angeles City College	[['MATH 20C - Calculus and Analytic Geometry for Science and Engineering (4.00)']]	[[['MATH 263 - Calculus III (5.00)']]]
Los Angeles City College	[['BILD 1 - The Cell (4.00)']]	[[['BIOLOGY 006 - General Biology I (5.00)', 'BIOLOGY 007 - General Biology II (5.00)']]]
Los Angeles City College	[['BILD 2 - Multicellular Life (4.00)']]	[[['BIOLOGY 006 - General Biology I (5.00)', 'BIOLOGY 007 - General Biology II (5.00)']]]
College of Marin	[['CSE 8A - Introduction to Programming and Computational Problem Solving I (4.00)', 'CSE 8B - Introduction to Programming and Computational Problem Solving II (4.00)'], ['CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace (4.00)']]	[[['COMP 232 - Advanced Programming in JAVA (4.00)']], [['No Course Articulated']], [['No Course Articulated']]]
College of Marin	[['CSE 12 - Basic Data Structures and Object-Oriented Design (4.00)']]	[[['COMP 220 - Data Structures and Algorithms (3.00)']]]
College of Marin	[['CSE 15L - Software Tools and Techniques Laboratory (2.00)']]	[[['No Course Articulated']]]
College of Marin	[['CSE 20 - Discrete Mathematics (4.00)']]	[[['COMP 117 - Discrete Mathematics (3.00)']]]
College of Marin	[['CSE 21 - Mathematics for Algorithms and Systems (4.00)']]	[[['No Course Articulated']]]
College of Marin	[['CSE 30 - Computer Organization and Systems Programming (4.00)']]	[[['No Course Articulated']]]
College of Marin	[['MATH 18 - Linear Algebra (4.00)']]	[[['MATH 116 - Linear Algebra (4.00)']]]
College of Marin	[['MATH 20A - Calculus for Science and Engineering (4.00)']]	[[['MATH 123 - Analytic Geometry and Calculus I (5.00)']]]
College of Marin	[['MATH 20B - Calculus for Science and Engineering (4.00)']]	[[['MATH 124 - Analytic Geometry and Calculus II (5.00)']]]
College of Marin	[['MATH 20C - Calculus and Analytic Geometry for Science and Engineering (4.00)']]	[[['MATH 223 - Analytic Geometry, Vector Analysis and Calculus III (5.00)']]]
College of Marin	[['BILD 1 - The Cell (4.00)']]	"[[[""BIOL 112A - Majors' Biology: Animals, Protozoa, Evolution and Classification (5.00)"", ""BIOL 112B - Majors' Biology: Plants, Algae, Fungi and Ecology (5.00)"", ""BIOL 112C - Majors' Biology: Molecules, Cells, Prokaryotes and Genetics (5.00)""]]]"
College of Marin	[['BILD 2 - Multicellular Life (4.00)']]	"[[[""BIOL 112A - Majors' Biology: Animals, Protozoa, Evolution and Classification (5.00)"", ""BIOL 112B - Majors' Biology: Plants, Algae, Fungi and Ecology (5.00)"", ""BIOL 112C - Majors' Biology: Molecules, Cells, Prokaryotes and Genetics (5.00)""]]]"
College of San Mateo	[['CSE 8A - Introduction to Programming and Computational Problem Solving I (4.00)', 'CSE 8B - Introduction to Programming and Computational Problem Solving II (4.00)'], ['CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace (4.00)']]	[[['CIS 254 - Introduction to Object-Oriented Program Design (4.00)']], [['CIS 255 - (CS1) Programming Methods: Java (4.00)']], [['No Course Articulated']]]
College of San Mateo	[['CSE 12 - Basic Data Structures and Object-Oriented Design (4.00)']]	[[['CIS 256 - (CS2) Data Structures: Java (4.00)']]]
College of San Mateo	[['CSE 15L - Software Tools and Techniques Laboratory (2.00)']]	[[['No Course Articulated']]]
College of San Mateo	[['CSE 20 - Discrete Mathematics (4.00)']]	[[['MATH 268 - Discrete Mathematics (4.00)'], ['CIS 262 - Discrete Mathematics for Computer Science (3.00)']]]
College of San Mateo	[['CSE 21 - Mathematics for Algorithms and Systems (4.00)']]	[[['No Course Articulated']]]
College of San Mateo	[['CSE 30 - Computer Organization and Systems Programming (4.00)']]	[[['CIS 264 - Computer Organization and Systems Programming (4.00)']]]
College of San Mateo	[['MATH 18 - Linear Algebra (4.00)']]	[[['MATH 270 - Linear Algebra (3.00)']]]
College of San Mateo	[['MATH 20A - Calculus for Science and Engineering (4.00)']]	[[['MATH 251 - Calculus with Analytic Geometry I (5.00)']]]
College of San Mateo	[['MATH 20B - Calculus for Science and Engineering (4.00)']]	[[['MATH 252 - Calculus with Analytic Geometry II (5.00)']]]
College of San Mateo	[['MATH 20C - Calculus and Analytic Geometry for Science and Engineering (4.00)']]	[[['MATH 253 - Calculus with Analytic Geometry III (5.00)']]]
College of San Mateo	[['BILD 1 - The Cell (4.00)']]	[[['BIOL 210 - General Zoology (5.00)', 'BIOL 220 - General Botany (5.00)', 'BIOL 230 - Introductory Cell Biology (4.00)']]]
College of San Mateo	[['BILD 2 - Multicellular Life (4.00)']]	[[['BIOL 210 - General Zoology (5.00)', 'BIOL 220 - General Botany (5.00)', 'BIOL 230 - Introductory Cell Biology (4.00)']]]
College of the Sequoias	[['CSE 8A - Introduction to Programming and Computational Problem Solving I (4.00)', 'CSE 8B - Introduction to Programming and Computational Problem Solving II (4.00)'], ['CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace (4.00)']]	[[['No Course Articulated']], [['No Course Articulated']], [['No Course Articulated']]]
