Bakersfield College,CS 1222 - Introduction to Relational Databases (3.00),[['No Course Articulated']]
Bakersfield College,CS 2011 - Introduction to Programming I (3.00),[['COMP B11 - Programming Concepts and Methodology I (3.00)']]
Bakersfield College,CS 2012 - Introduction to Programming II (3.00),[['COMP B12 - Programming Concepts and Methodology II (3.00)']]
Bakersfield College,CS 2013 - Programming with Data Structures (3.00),[['COMP B12 - Programming Concepts and Methodology II (3.00)']]
Bakersfield College,CS 2148 - Discrete Structures (3.00),[['COMP B14 - Discrete Structures (3.00)']]
Bakersfield College,CS 2445 - Introduction to Computer Systems (3.00),[['COMP B13 - Computer Architecture and Organization (3.00)']]
Bakersfield College,CS 2470 - Fundamentals of Network Systems and Cybersecurity (3.00),[['No Course Articulated']]
Bakersfield College,ENGL 2030 - Introduction to Technical Writing (3.00),[['No Course Articulated']]
Bakersfield College,MATH 2110 - Calculus I (4.00),[['MATH B6A - Analytic Geometry/Calculus I (4.00)']]
Bakersfield College,MATH 2120 - Calculus II (4.00),[['MATH B6B - Analytic Geometry and Calculus II (4.00)']]
Bakersfield College,MATH 2550 - Introduction to Linear Algebra (3.00),[['MATH B6E - Elementary Linear Algebra (3.00)']]
Bakersfield College,PHYS 2100 - General Physics I: Mechanics (5.00),[['PHYS B4A - Mechanics and Wave Motion (4.00)']]
