Coastline Community College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['No Course Articulated']]
Coastline Community College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['No Course Articulated']]
Coastline Community College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['No Course Articulated']]
Coastline Community College,CMPS 2120 - Discrete Structures (4.00),[['No Course Articulated']]
Coastline Community College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
Coastline Community College,MATH 2510 - Single Variable Calculus I (4.00),[['MATH C180 - Calculus 1 (5.00)']]
Coastline Community College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
Coastline Community College,MATH 2520 - Single Variable Calculus II (4.00),[['MATH C185 - Calculus 2 (5.00)']]
Coastline Community College,PHYS 2210 - Calculus-Based Physics I (4.00),[['PHYS C185 - Calculus Based Physics: Mechanics (4.00)']]
Coastline Community College,PHYS 2220 - Calculus-Based Physics II (4.00),[['PHYS C280 - Calculus Based Physics: Electricity and Magnetism (4.00)']]
Coastline Community College,BIOL 1009 - Perspectives in Biology (3.00),"[['BIOL C100C - Introduction to Biology Lecture/Lab (4.00)', 'BIOL C100L - Introduction to Biology Lab (1.00)']]"
Coastline Community College,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
Coastline Community College,BIOL 2010 - Introductory Biology - Cells (4.00),[['BIOL C180 - Cell and Molecular Biology (4.00)']]
Coastline Community College,CHEM 1000 - Foundations of Chemistry (3.00),"[['CHEM C180 - General Chemistry A (4.00)'], [' Course is articulated in more than one agreement but', 'CHEM C180L - General Chemistry A Lab (1.00)']]"
Coastline Community College,GEOL 2010 - Physical Geology (4.00),"[['GEOL C105 - General Geology (3.00)', 'GEOL C105L - Geology Lab (1.00)']]"
Coastline Community College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),[['MATH C160 - Introduction to Statistics (4.00)']]
Coastline Community College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MATH C280 - Calculus 3 (5.00)']]
Coastline Community College,MATH 2540 - Ordinary Differential Equations (4.00),[['No Course Articulated']]
Coastline Community College,MATH 2610 - Linear Algebra I (4.00),[['No Course Articulated']]
Coastline Community College,PHYS 2230 - Calculus-Based Physics III (4.00),[['PHYS C285 - Calculus Based Physics: Modern Physics (4.00)']]
Coastline Community College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
