College of Marin,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['No Course Articulated']]
College of Marin,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['COMP 220 - Data Structures and Algorithms (3.00)']]
College of Marin,CMPS 2120 - Discrete Structures (4.00),[['COMP 117 - Discrete Mathematics (3.00)']]
College of Marin,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['COMP 160 - Computer Organization: An Assembly Language']]
College of Marin,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
College of Marin,MATH 2510 - Single Variable Calculus I (4.00),"[['MATH 121 - Calculus I with Applications (3.00)'], ['MATH 123 - Analytic Geometry and Calculus I (5.00)']]"
College of Marin,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
College of Marin,MATH 2520 - Single Variable Calculus II (4.00),"[['MATH 122 - Calculus II with Applications (3.00)'], ['MATH 124 - Analytic Geometry and Calculus II (5.00)']]"
College of Marin,PHYS 2210 - Calculus-Based Physics I (4.00),[['PHYS 207A - Mechanics and Properties of Matter (5.00)']]
College of Marin,PHYS 2220 - Calculus-Based Physics II (4.00),[['PHYS 207B - Electricity and Magnetism (5.00)']]
College of Marin,BIOL 1009 - Perspectives in Biology (3.00),[['No Course Articulated']]
College of Marin,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
College of Marin,BIOL 2010 - Introductory Biology - Cells (4.00),"[[""BIOL 112C - Majors' Biology: Molecules, Cells, Prokaryotes and""], [' Genetics (5.00)']]"
College of Marin,CHEM 1000 - Foundations of Chemistry (3.00),[['CHEM 131 - General Chemistry I (5.00)']]
College of Marin,GEOL 2010 - Physical Geology (4.00),"[['GEOL 120 - Physical Geology (3.00)', 'GEOL 120L - Physical Geology Laboratory (1.00)']]"
College of Marin,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),"[['MATH 115 - Probability and Statistics (4.00)'], ['STAT 115 - Introduction to Statistics for Business (4.00)']]"
College of Marin,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MATH 223 - Analytic Geometry and Calculus III (5.00)']]
College of Marin,MATH 2540 - Ordinary Differential Equations (4.00),[['MATH 224 - Elementary Differential Equations (4.00)']]
College of Marin,MATH 2610 - Linear Algebra I (4.00),[['MATH 116 - Linear Algebra (4.00)']]
College of Marin,PHYS 2230 - Calculus-Based Physics III (4.00),"[['PHYS 207C - Heat, Light, Sound and Modern Physics (5.00)']]"
College of Marin,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
