College of the Canyons,COMP 162 - Computer Architecture and Assembly Language (3.00) ,[['CMPSCI 122 - Computer Architecture and Assembly Language (3.00)']]
College of the Canyons,COMP 232 - Programming Languages (3.00),[['No Comparable Course']]
College of the Canyons,COMP 262 - Computer Organization and Architecture (3.00),[['CMPSCI 222 - Computer Organization (3.00)']]
College of the Canyons,MATH 150 - Calculus I (4.00),[['MATH 211 - Calculus I (5.00)']]
College of the Canyons,MATH 151 - Calculus II (4.00),[['MATH 212 - Calculus II (5.00)']]
College of the Canyons,MATH 240 - Linear Algebra (3.00),[['MATH 214 - Linear Algebra (4.00)']]
College of the Canyons,PHYS 200 - General Physics I (4.00),[['PHYSIC 220 - Physics for Scientists and Engineers: Mechanics of']]
College of the Canyons,PHYS 201 - General Physics II (4.00),[['PHYSIC 221 - Physics for Scientists and Engineers: Electricity and']]
College of the Canyons,CSU GE Area: B2 - Life Science,[['PSYCH 102 - Physiological Psychology (3.00)']]
College of the Canyons,MATH 300 - Discrete Mathematics (3.00),[['CMPSCI 256 - Discrete Structures (3.00)']]
