Columbia College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['COMP 11P - Programming Concepts and Methodology I (Python)']]
Columbia College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['COMP 12P - Programming Concepts and Methodology II (Python)']]
Columbia College,CMPS 2120 - Discrete Structures (4.00),[['No Course Articulated']]
Columbia College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['No Course Articulated']]
Columbia College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
Columbia College,MATH 2510 - Single Variable Calculus I (4.00),[['MATH 18A - Calculus I (5.00)']]
Columbia College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
Columbia College,MATH 2520 - Single Variable Calculus II (4.00),[['MATH 18B - Calculus II (5.00)']]
Columbia College,PHYS 2210 - Calculus-Based Physics I (4.00),[['PHYCS 5A - Physics I: Calculus Level (4.00)']]
Columbia College,PHYS 2220 - Calculus-Based Physics II (4.00),[['PHYCS 5B - Physics II: Calculus Level (4.00)']]
Columbia College,BIOL 1009 - Perspectives in Biology (3.00),[['BIOL 17 - Fundamentals of Biology (4.00)']]
Columbia College,BIOL 1039 - Principles of Ecology (3.00),[['BIOL 24 - Introduction to Environmental Science (4.00)']]
Columbia College,BIOL 2010 - Introductory Biology - Cells (4.00),[['BIOL 2 - Cell and Molecular Biology (4.00)']]
Columbia College,CHEM 1000 - Foundations of Chemistry (3.00),"[['CHEM 2A - General Chemistry I (3.00)', 'CHEM 2AL - General Chemistry I Laboratory (2.00)']]"
Columbia College,GEOL 2010 - Physical Geology (4.00),[['ESC 5 - Physical Geology (4.00)']]
Columbia College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),[['MATH 2 - Statistics (4.00)']]
Columbia College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MATH 18C - Calculus III (5.00)']]
Columbia College,MATH 2540 - Ordinary Differential Equations (4.00),[['MATH 28 - Differential Equations (3.00)']]
Columbia College,MATH 2610 - Linear Algebra I (4.00),[['MATH 26 - Linear Algebra (3.00)']]
Columbia College,PHYS 2230 - Calculus-Based Physics III (4.00),[['PHYCS 5C - Physics III: Calculus Level (4.00)']]
Columbia College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
