Cuyamaca College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['CS 181 - Introduction to C++ Programming (4.00)']]
Cuyamaca College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,"[['CS 281 - Intermediate C++ Programming and Fundamental Data'], ['CS 282 - Intermediate Java Programming and Fundamental Data Structures (4.00)']]"
Cuyamaca College,CMPS 2120 - Discrete Structures (4.00),[['No Course Articulated']]
Cuyamaca College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['No Course Articulated']]
Cuyamaca College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
Cuyamaca College,MATH 2510 - Single Variable Calculus I (4.00),[['MATH 180 - Analytic Geometry and Calculus I (5.00)']]
Cuyamaca College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
Cuyamaca College,MATH 2520 - Single Variable Calculus II (4.00),[['MATH 280 - Analytic Geometry and Calculus II (4.00)']]
Cuyamaca College,PHYS 2210 - Calculus-Based Physics I (4.00),"[['PHYC 190 - Mechanics and Heat (5.00)'], ['PHYC 201 - Mechanics and Waves (5.00)']]"
Cuyamaca College,PHYS 2220 - Calculus-Based Physics II (4.00),"[['PHYC 200 - Electricity and Magnetism (5.00)'], ['PHYC 202 - Electricity, Magnetism, and Heat (5.00)']]"
Cuyamaca College,BIOL 1009 - Perspectives in Biology (3.00),"[['BIO 130 - General Biology I (3.00)', 'BIO 131 - General Biology I Laboratory (1.00)']]"
Cuyamaca College,BIOL 1039 - Principles of Ecology (3.00),[['BIO 112 - Contemporary Issues in Environmental Resources (3.00)']]
Cuyamaca College,BIOL 2010 - Introductory Biology - Cells (4.00),"[['BIO 230 - Principles of Cellular, Molecular and Evolutionary Biology']]"
Cuyamaca College,CHEM 1000 - Foundations of Chemistry (3.00),[['CHEM 141 - General Chemistry I (5.00)']]
Cuyamaca College,GEOL 2010 - Physical Geology (4.00),[['GEOL 110 - Planet Earth (3.00)']]
Cuyamaca College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),[['MATH 160 - Elementary Statistics (4.00)']]
Cuyamaca College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MATH 281 - Multivariable Calculus (4.00)']]
Cuyamaca College,MATH 2540 - Ordinary Differential Equations (4.00),[['MATH 285 - Differential Equations (3.00)']]
Cuyamaca College,MATH 2610 - Linear Algebra I (4.00),[['MATH 284 - Linear Algebra (3.00)']]
Cuyamaca College,PHYS 2230 - Calculus-Based Physics III (4.00),"[['PHYC 210 - Wave Motion and Modern Physics (5.00)'], ['PHYC 203 - Light, Optics, and Modern Physics (5.00)']]"
Cuyamaca College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
