Foothill College,COMP 162 - Computer Architecture and Assembly Language (3.00) ,[['C S 10 - Computer Architecture & Organization (4.50)']]
Foothill College,COMP 232 - Programming Languages (3.00),[['No Comparable Course']]
Foothill College,COMP 262 - Computer Organization and Architecture (3.00),[['No Comparable Course']]
Foothill College,MATH 150 - Calculus I (4.00),"[['MATH 1A - Calculus (5.00)'], ['MATH 1AH - Honors Calculus I (5.00)', 'MATH 1B - Calculus (5.00)']]"
Foothill College,MATH 151 - Calculus II (4.00),[['MATH 1B - Calculus (5.00)']]
Foothill College,MATH 240 - Linear Algebra (3.00),[['MATH 2B - Linear Algebra (5.00)']]
Foothill College,PHYS 200 - General Physics I (4.00),[['PHYS 4A - General Physics (Calculus) (6.00)']]
Foothill College,PHYS 201 - General Physics II (4.00),[['PHYS 4B - General Physics (Calculus) (6.00)']]
Foothill College,CSU GE Area: B2 - Life Science,[['BIOL 12 - Human Genetics (4.00)']]
Foothill College,MATH 300 - Discrete Mathematics (3.00),"[['C S 18 - Discrete Mathematics (5.00)'], ['MATH 22 - Discrete Mathematics (5.00)']]"
