Irvine Valley College,COMP 162 - Computer Architecture and Assembly Language (3.00) ,[['CS 40A - Computer Organization and Assembly Language I (3.00)']]
Irvine Valley College,COMP 150 - Object-oriented Programming (4.00),[['No Comparable Course']]
Irvine Valley College,COMP 151 - Data Structures and Program Design (4.00),[['CS 41 - Data Structures (3.00)']]
Irvine Valley College,COMP 232 - Programming Languages (3.00),[['No Comparable Course']]
Irvine Valley College,COMP 262 - Computer Organization and Architecture (3.00),[['No Comparable Course']]
Irvine Valley College,MATH 150 - Calculus I (4.00),[['MATH 3A - Analytic Geometry and Calculus I (5.00)']]
Irvine Valley College,MATH 151 - Calculus II (4.00),"[['MATH 3B - Analytic Geometry and Calculus II (5.00)'], ['MATH 3AH - Analytic Geometry and Calculus I Honors (5.00)']]"
Irvine Valley College,MATH 240 - Linear Algebra (3.00),[['MATH 26 - Introduction to Linear Algebra (4.00)']]
Irvine Valley College,PHYS 200 - General Physics I (4.00),[['PHYS 4A - General Physics (4.00)']]
Irvine Valley College,PHYS 201 - General Physics II (4.00),[['PHYS 4B - General Physics (4.00)']]
Irvine Valley College,CSU GE Area: B2 - Life Science,[['BIO 82 - Genetics (4.00)']]
Irvine Valley College,MATH 300 - Discrete Mathematics (3.00),"[['CS 6A - Computer Discrete Mathematics I (3.00)'], [' Course is an approved substitute for Computer Science']]"
