Lake Tahoe Community College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['CIS 120A - Computer Programming I (4.00)']]
Lake Tahoe Community College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['CIS 120B - Computer Programming II (4.00)']]
Lake Tahoe Community College,CMPS 2120 - Discrete Structures (4.00),[['No Course Articulated']]
Lake Tahoe Community College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['No Course Articulated']]
Lake Tahoe Community College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
Lake Tahoe Community College,MATH 2510 - Single Variable Calculus I (4.00),[['No Course Articulated']]
Lake Tahoe Community College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
Lake Tahoe Community College,MATH 2520 - Single Variable Calculus II (4.00),[['No Course Articulated']]
Lake Tahoe Community College,PHYS 2210 - Calculus-Based Physics I (4.00),[['No Course Articulated']]
Lake Tahoe Community College,PHYS 2220 - Calculus-Based Physics II (4.00),"[['No Course Articulated'], ['Select 1 Course(s) from the following']]"
Lake Tahoe Community College,BIOL 1009 - Perspectives in Biology (3.00),[['No Course Articulated']]
Lake Tahoe Community College,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
Lake Tahoe Community College,BIOL 2010 - Introductory Biology - Cells (4.00),[['BIO 101 - Principles of Biology I (5.00)']]
Lake Tahoe Community College,CHEM 1000 - Foundations of Chemistry (3.00),[['CHM 101 - General Chemistry I (5.75)']]
Lake Tahoe Community College,GEOL 2010 - Physical Geology (4.00),[['GEL 102 - Physical Geology (5.00)']]
Lake Tahoe Community College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),[['MAT 201 - Elementary Statistics (5.00)']]
Lake Tahoe Community College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['No Course Articulated']]
Lake Tahoe Community College,MATH 2540 - Ordinary Differential Equations (4.00),[['MAT 204 - Differential Equations (5.00)']]
Lake Tahoe Community College,MATH 2610 - Linear Algebra I (4.00),[['MAT 203 - Linear Algebra (5.00)']]
Lake Tahoe Community College,PHYS 2230 - Calculus-Based Physics III (4.00),[['No Course Articulated']]
Lake Tahoe Community College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
