Long Beach City College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['CS 11 - Introduction to Computer Science-C++ (3.00)']]
Long Beach City College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['CS 22 - Data Structures and Algorithms (3.00)']]
Long Beach City College,CMPS 2120 - Discrete Structures (4.00),[['CS 61 - Discrete Structures (3.00)']]
Long Beach City College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['CS 51 - Introduction to Computer Architecture (3.00)']]
Long Beach City College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
Long Beach City College,MATH 2510 - Single Variable Calculus I (4.00),"[['MATH 60 - First Calculus Course (5.00)'], ['MATH 60H - Honors First Calculus Course (5.00)']]"
Long Beach City College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
Long Beach City College,MATH 2520 - Single Variable Calculus II (4.00),"[['MATH 70 - Second Calculus Course (5.00)'], ['MATH 70H - Honors Second Calculus Course (5.00)']]"
Long Beach City College,PHYS 2210 - Calculus-Based Physics I (4.00),[['PHYS 3A - Physics for Sci & Eng. - Mechanics (5.50)']]
Long Beach City College,PHYS 2220 - Calculus-Based Physics II (4.00),[['No Course Articulated']]
Long Beach City College,BIOL 1009 - Perspectives in Biology (3.00),[['No Course Articulated']]
Long Beach City College,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
Long Beach City College,BIOL 2010 - Introductory Biology - Cells (4.00),[['BIO 1A - Biology for Science Majors (5.00)']]
Long Beach City College,CHEM 1000 - Foundations of Chemistry (3.00),[['CHEM 1A - General Chemistry (5.50)']]
Long Beach City College,GEOL 2010 - Physical Geology (4.00),"[['GEOL 1 - General Physical Geology (4.50)'], ['GEOL 1H - Honors General Physical Geology (4.50)'], ['GEOL 2 - General Geology: Physical (3.00)', 'GEOL 2L - General Geology: Physical Geology (1.50)']]"
Long Beach City College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),"[['STAT 1 - Elementary Statistics (4.00)'], ['STAT 1H - Honors Elementary Statistics (4.00)'], ['MATH 21A - Statistics Pathway A (5.00)', 'MATH 21B - Statistics Pathway B (5.00)']]"
Long Beach City College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MATH 80 - Third Calculus Course (5.00)']]
Long Beach City College,MATH 2540 - Ordinary Differential Equations (4.00),[['MATH 84 - Intro to Differential Equations and Linear Algebra (5.00)']]
Long Beach City College,MATH 2610 - Linear Algebra I (4.00),[['MATH 84 - Intro to Differential Equations and Linear Algebra (5.00)']]
Long Beach City College,PHYS 2230 - Calculus-Based Physics III (4.00),[['No Course Articulated']]
Long Beach City College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
