Los Angeles Valley College,COMP 162 - Computer Architecture and Assembly Language (3.00) ,[['CS 130 - Introduction to Computer Architecture and Organization']]
Los Angeles Valley College,COMP 232 - Programming Languages (3.00),[['No Comparable Course']]
Los Angeles Valley College,COMP 262 - Computer Organization and Architecture (3.00),[['No Comparable Course']]
Los Angeles Valley College,MATH 150 - Calculus I (4.00),[['MATH 247 - Calculus for Life Sciences I (4.00)']]
Los Angeles Valley College,MATH 151 - Calculus II (4.00),"[['MATH 248 - Calculus for Life Sciences II (4.00)'], ['MATH 262 - Calculus II (5.00)']]"
Los Angeles Valley College,MATH 240 - Linear Algebra (3.00),[['MATH 270 - Linear Algebra (3.00)']]
Los Angeles Valley College,PHYS 200 - General Physics I (4.00),[['PHYSICS 037 - Physics for Engineers and Scientists I (5.00)']]
Los Angeles Valley College,PHYS 201 - General Physics II (4.00),"[['PHYSICS 038 - Physics for Engineers and Scientists II (5.00)'], ['PHYSICS 067 - Physics With Calculus For Life Science Majors II (5.00)']]"
Los Angeles Valley College,CSU GE Area: B2 - Life Science,[['ANTHRO 101 - Human Biological Evolution (3.00)']]
Los Angeles Valley College,MATH 300 - Discrete Mathematics (3.00),[['No Course Articulated']]
