MiraCosta College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['CS 150 - C++ Programming (3.00)']]
MiraCosta College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['No Course Articulated']]
MiraCosta College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['No Course Articulated']]
MiraCosta College,CMPS 2120 - Discrete Structures (4.00),[['No Course Articulated']]
MiraCosta College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),"[['MATH 150 - Calculus and Analytic Geometry I (5.00)'], [' Course cannot be dual counted']]"
MiraCosta College,MATH 2510 - Single Variable Calculus I (4.00),"[['MATH 150 - Calculus and Analytic Geometry I (5.00)'], [' Course cannot be dual counted']]"
MiraCosta College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
MiraCosta College,MATH 2520 - Single Variable Calculus II (4.00),[['MATH 155 - Calculus and Analytic Geometry II (4.00)']]
MiraCosta College,PHYS 2210 - Calculus-Based Physics I (4.00),"[['PHYS 151 - Principles of Physics I (4.00)'], ['PHYS 151H - Principles of Physics I (Honors) (4.00)']]"
MiraCosta College,PHYS 2220 - Calculus-Based Physics II (4.00),[['PHYS 152H - Principles of Physics II (Honors) (4.00)']]
MiraCosta College,BIOL 1009 - Perspectives in Biology (3.00),[['No Course Articulated']]
MiraCosta College,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
MiraCosta College,BIOL 2010 - Introductory Biology - Cells (4.00),"[['BIO 204 - Foundations of Biology: Biochemistry, Cell Biology, Genetics'], [' and Molecular Biology (4.00)'], [' Course cannot be dual counted']]"
MiraCosta College,CHEM 1000 - Foundations of Chemistry (3.00),"[['CHEM 150 - General Chemistry I: For Science Majors (5.00)'], [' Course cannot be dual counted']]"
MiraCosta College,GEOL 2010 - Physical Geology (4.00),"[['GEOL 101 - Physical Geology (3.00)', 'GEOL 101L - Physical Geology Laboratory (1.00)'], ['GEOL 101H - Physical Geology (Honors) (3.00)', 'GEOL 101L - Physical Geology Laboratory (1.00)']]"
MiraCosta College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),[['MATH 103 - Statistics (4.00)']]
MiraCosta College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['No Course Articulated']]
MiraCosta College,MATH 2540 - Ordinary Differential Equations (4.00),[['MATH 265 - Differential Equations (4.00)']]
MiraCosta College,MATH 2610 - Linear Algebra I (4.00),[['MATH 270 - Linear Algebra (4.00)']]
MiraCosta College,PHYS 2230 - Calculus-Based Physics III (4.00),"[['PHYS 253 - Principles of Physics III (4.00)'], ['PHYS 253H - Principles of Physics III (Honors) (4.00)']]"
MiraCosta College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
