Pasadena City College,COMP 162 - Computer Architecture and Assembly Language (3.00) ,"[['CS 066 - Assembly Language Programming for the Sciences and'], [' (4.00)']]"
Pasadena City College,COMP 151 - Data Structures and Program Design (4.00),[['No Comparable Course']]
Pasadena City College,COMP 232 - Programming Languages (3.00),[['No Comparable Course']]
Pasadena City College,COMP 262 - Computer Organization and Architecture (3.00),[['MATH 005A - Single Variable Calculus I (5.00)']]
Pasadena City College,MATH 150 - Calculus I (4.00),"[['MATH 005B - Single Variable Calculus II (5.00)'], ['MATH 005AH - Honors Single Variable Calculus I (5.00)']]"
Pasadena City College,MATH 151 - Calculus II (4.00),"[['MATH 010 - Linear Algebra and Applications (4.00)'], ['MATH 010H - Honors Linear Algebra and Applications (4.00)']]"
Pasadena City College,MATH 240 - Linear Algebra (3.00),"[['PHYS 001A - Physics for Scientists and Engineers I: Mechanics'], ['PHYS 008A - Physics for Scientists and Engineers I: Mechanics (5.00)']]"
Pasadena City College,PHYS 200 - General Physics I (4.00),"[['PHYS 001C - General Physics (5.00)'], ['PHYS 008B - Physics for Scientists and Engineers II: Waves, Electricity & Magnetism (5.00)', 'SCIENCE']]"
Pasadena City College,PHYS 201 - General Physics II (4.00),[['ANTH 001 - Biological Anthropology (3.00)']]
Pasadena City College,CSU GE Area: B2 - Life Science,[['PHYS 001A - Physics for Scientists and Engineers I: Mechanics (5.00)']]
Pasadena City College,MATH 300 - Discrete Mathematics (3.00),[['CS 045 - Discrete Structures with Computer Science Applications']]
