Saddleback College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['CS 1A - Introduction to Computer Science I (3.50)']]
Saddleback College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['No Course Articulated']]
Saddleback College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['No Course Articulated']]
Saddleback College,CMPS 2120 - Discrete Structures (4.00),[['CS 3A - Computer Organization and Machine Language (3.50)']]
Saddleback College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),"[['MATH 3A - Analytic Geometry and Calculus (5.00)'], [' Course cannot be dual counted']]"
Saddleback College,MATH 2510 - Single Variable Calculus I (4.00),"[['MATH 3A - Analytic Geometry and Calculus (5.00)'], [' Course cannot be dual counted']]"
Saddleback College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['MATH 3B - Analytic Geometry and Calculus (5.00)']]
Saddleback College,MATH 2520 - Single Variable Calculus II (4.00),[['MATH 3B - Analytic Geometry and Calculus (5.00)']]
Saddleback College,PHYS 2210 - Calculus-Based Physics I (4.00),[['PHYS 4A - General Physics (5.00)']]
Saddleback College,PHYS 2220 - Calculus-Based Physics II (4.00),[['PHYS 4B - General Physics (5.00)']]
Saddleback College,BIOL 1009 - Perspectives in Biology (3.00),[['No Course Articulated']]
Saddleback College,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
Saddleback College,BIOL 2010 - Introductory Biology - Cells (4.00),"[['BIO 4A - Principles of Cellular Biology (4.00)'], [' Course cannot be dual counted']]"
Saddleback College,CHEM 1000 - Foundations of Chemistry (3.00),"[['CHEM 1A - General Chemistry (5.00)'], [' Course cannot be dual counted']]"
Saddleback College,GEOL 2010 - Physical Geology (4.00),[['GEOL 1 - Introduction to Physical Geology (4.00)']]
Saddleback College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),"[['MATH 10 - Introduction to Statistics (3.00)'], ['PSYC 44 - Statistics for the Behavioral Sciences (3.00)']]"
Saddleback College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MATH 3C - Analytic Geometry and Calculus (5.00)']]
Saddleback College,MATH 2540 - Ordinary Differential Equations (4.00),[['MATH 24 - Elementary Differential Equations (4.00)']]
Saddleback College,MATH 2610 - Linear Algebra I (4.00),[['MATH 26 - Introduction to Linear Algebra (4.00)']]
Saddleback College,PHYS 2230 - Calculus-Based Physics III (4.00),[['PHYS 4C - General Physics (5.00)']]
Saddleback College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
