Solano Community College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['CIS 022 - Introduction to Programming (3.00)']]
Solano Community College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['No Course Articulated']]
Solano Community College,CMPS 2120 - Discrete Structures (4.00),[['CIS 021 - Discrete Structures for Computer Science (3.00)']]
Solano Community College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['No Course Articulated']]
Solano Community College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
Solano Community College,MATH 2510 - Single Variable Calculus I (4.00),[['MATH 020 - Analytic Geometry and Calculus I (5.00)']]
Solano Community College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
Solano Community College,MATH 2520 - Single Variable Calculus II (4.00),[['MATH 021 - Analytic Geometry and Calculus II (5.00)']]
Solano Community College,PHYS 2210 - Calculus-Based Physics I (4.00),[['PHYS 006 - Physics for Science and Engineering (5.00)']]
Solano Community College,PHYS 2220 - Calculus-Based Physics II (4.00),[['PHYS 007 - Physics for Science and Engineering (5.00)']]
Solano Community College,BIOL 1009 - Perspectives in Biology (3.00),[['No Course Articulated']]
Solano Community College,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
Solano Community College,BIOL 2010 - Introductory Biology - Cells (4.00),"[['BIO 002 - Principles of Cell and Molecular Biology (5.00)'], [' Course cannot be dual counted']]"
Solano Community College,CHEM 1000 - Foundations of Chemistry (3.00),[['CHEM 001 - General Chemistry I (5.00)']]
Solano Community College,GEOL 2010 - Physical Geology (4.00),[['GEOL 001 - Physical Geology (3.00)']]
Solano Community College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),[['MATH 011 - Elementary Statistics (4.00)']]
Solano Community College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MATH 022 - Analytic Geometry and Calculus III (4.00)']]
Solano Community College,MATH 2540 - Ordinary Differential Equations (4.00),[['MATH 023 - Differential Equations (4.00)']]
Solano Community College,MATH 2610 - Linear Algebra I (4.00),[['MATH 040 - Introduction to Linear Algebra (3.00)']]
Solano Community College,PHYS 2230 - Calculus-Based Physics III (4.00),[['PHYS 008 - Physics for Science and Engineering (5.00)']]
Solano Community College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
