Victor Valley College,COMP 162 - Computer Architecture and Assembly Language (3.00) ,[['CIS 208 - Computer Architecture and Organization (3.00)']]
Victor Valley College,COMP 232 - Programming Languages (3.00),[['No Comparable Course']]
Victor Valley College,COMP 262 - Computer Organization and Architecture (3.00),[['No Comparable Course']]
Victor Valley College,MATH 150 - Calculus I (4.00),[['No Comparable Course']]
Victor Valley College,MATH 151 - Calculus II (4.00),[['No Comparable Course']]
Victor Valley College,MATH 240 - Linear Algebra (3.00),[['MATH 226 - Analytic Geometry and Calculus I (4.00)']]
Victor Valley College,PHYS 200 - General Physics I (4.00),"[['MATH 227 - Analytic Geometry and Calculus II (4.00)'], ['MATH 226H - Honors Analytic Geometry and Calculus I (4.00)']]"
Victor Valley College,PHYS 201 - General Physics II (4.00),[['MATH 231 - Linear Algebra (3.00)']]
Victor Valley College,CSU GE Area: B2 - Life Science,"[['PHYS 201 - Engineering Physics (Mechanics of Solids) (4.00)', 'PHYS 202 - Engineering Physics (Mechanics of Fluids, Heat and Sound) (4.00)']]"
Victor Valley College,MATH 300 - Discrete Mathematics (3.00),[['CIS 264 - Discrete Structures (3.00)']]
