Evergreen Valley College,CPSC 120 - Introduction to Programming (3.00),[['COMSC 020 - Introduction to Programming Concepts and Methodologies (3.00)']]
,,
Evergreen Valley College,CPSC 121 - Object-Oriented Programming (3.00),[['COMSC 075 - Computer Science I: Introduction to Program Structures (3.00)']]
,,
Evergreen Valley College,CPSC 131 - Data Structures (3.00),[['COMSC 076 - Computer Science II: Introduction to Data Structures (3.00)']]
,,
Evergreen Valley College,CPSC 240 - Computer Organization & Assembly Language (3.00),[['COMSC 077 - Introduction to Computer Systems (3.00)']]
,,
Evergreen Valley College,CPSC 253 - Cybersecurity Foundations and Principles (3.00),[['No Course Articulated']]
,,
Evergreen Valley College,CPSC 223C - C Programming (3.00),[['No Course Articulated']]
,,
Evergreen Valley College,MATH 150A - Calculus I (4.00),[['MATH 071 - Calculus I with Analytic Geometry (5.00)']]
,,
Evergreen Valley College,MATH 150B - Calculus II (4.00),[['MATH 072 - Calculus II with Analytic Geometry (5.00)']]
,,
Evergreen Valley College,MATH 170A - Mathematical Structures I (3.00),"[['COMSC 080 - Discrete Structures (3.00)'], ['MATH 070 - Discrete Mathematics (4.00)']]"
,,
Evergreen Valley College,MATH 170B - Mathematical Structure II (3.00),[['No Course Articulated']]
,,
Evergreen Valley College,MATH 338 - Stat Appl to Natural Sci (4.00),[['No Course Articulated']]
,,
Los Angeles City College,CPSC 120 - Introduction to Programming (3.00),[['No Course Articulated']]
,,
Los Angeles City College,CPSC 121 - Object-Oriented Programming (3.00),"[['CS 116 - Programming In C++ (3.00)'], ['CS 113 - Programming in JAVA (3.00)']]"
,,
Los Angeles City College,CPSC 131 - Data Structures (3.00),[['CS 136 - Introduction to Data Structures (3.00)']]
,,
Los Angeles City College,CPSC 240 - Computer Organization & Assembly Language (3.00),[['CS 130 - Introduction To Computer Architecture and Organization (3.00)']]
,,
Los Angeles City College,CPSC 253 - Cybersecurity Foundations and Principles (3.00),[['No Course Articulated']]
,,
Los Angeles City College,CPSC 223C - C Programming (3.00),[['No Course Articulated']]
,,
Los Angeles City College,MATH 150A - Calculus I (4.00),[['MATH 261 - Calculus I (5.00)']]
,,
Los Angeles City College,MATH 150B - Calculus II (4.00),[['MATH 262 - Calculus II (5.00)']]
,,
Los Angeles City College,MATH 170A - Mathematical Structures I (3.00),[['No Course Articulated']]
,,
Los Angeles City College,MATH 170B - Mathematical Structure II (3.00),[['No Course Articulated']]
,,
Los Angeles City College,MATH 338 - Stat Appl to Natural Sci (4.00),[['No Course Articulated']]
,,
College of Marin,CPSC 120 - Introduction to Programming (3.00),[['COMP 130 - Introduction to Computer Programming Using C++ (4.00)']]
,,
College of Marin,CPSC 121 - Object-Oriented Programming (3.00),[['No Course Articulated']]
,,
College of Marin,CPSC 131 - Data Structures (3.00),[['COMP 220 - Data Structures and Algorithms (3.00)']]
,,
College of Marin,CPSC 240 - Computer Organization & Assembly Language (3.00),[['COMP 160 - Computer Organization: An Assembly Language Perspective (3.00)']]
,,
College of Marin,CPSC 253 - Cybersecurity Foundations and Principles (3.00),[['No Course Articulated']]
,,
College of Marin,CPSC 223P - Python Programming (3.00),[['COMP 138 - Introduction to Programming in Python (4.00)']]
,,
College of Marin,MATH 150A - Calculus I (4.00),[['MATH 123 - Analytic Geometry and Calculus I (5.00)']]
,,
College of Marin,MATH 150B - Calculus II (4.00),[['MATH 124 - Analytic Geometry and Calculus II (5.00)']]
,,
College of Marin,MATH 170A - Mathematical Structures I (3.00),[['No Course Articulated']]
,,
College of Marin,MATH 170B - Mathematical Structure II (3.00),[['No Course Articulated']]
,,
College of Marin,MATH 338 - Stat Appl to Natural Sci (4.00),[['No Course Articulated']]
,,
College of San Mateo,CPSC 120 - Introduction to Programming (3.00),[['CIS 254 - Introduction to Object-Oriented Program Design (4.00)']]
,,
College of San Mateo,CPSC 121 - Object-Oriented Programming (3.00),"[['CIS 255 - (CS1) Programming Methods: Java (4.00)'], ['CIS 278 - (CS1) Programming Methods I: C++ (4.00)']]"
,,
College of San Mateo,CPSC 131 - Data Structures (3.00),"[['CIS 256 - (CS2) Data Structures: Java (4.00)'], ['CIS 279 - (CS2) Data Structures: C ++ (4.00)']]"
,,
College of San Mateo,CPSC 240 - Computer Organization & Assembly Language (3.00),[['CIS 264 - Computer Organization and Systems Programming (4.00)']]
,,
College of San Mateo,CPSC 253 - Cybersecurity Foundations and Principles (3.00),[['No Course Articulated']]
,,
College of San Mateo,CPSC 223C - C Programming (3.00),[['No Course Articulated']]
,,
College of San Mateo,MATH 150A - Calculus I (4.00),[['MATH 251 - Calculus with Analytic Geometry I (5.00)']]
,,
College of San Mateo,MATH 150B - Calculus II (4.00),[['MATH 252 - Calculus with Analytic Geometry II (5.00)']]
,,
College of San Mateo,MATH 170A - Mathematical Structures I (3.00),[['No Course Articulated']]
,,
College of San Mateo,MATH 170B - Mathematical Structure II (3.00),[['No Course Articulated']]
,,
College of San Mateo,MATH 338 - Stat Appl to Natural Sci (4.00),[['No Course Articulated']]
,,
College of the Sequoias,CPSC 120 - Introduction to Programming (3.00),[['No Course Articulated']]
,,
College of the Sequoias,CPSC 121 - Object-Oriented Programming (3.00),[['CSCI 001 - Programming Concepts/Method 1 (4.00)']]
,,
College of the Sequoias,CPSC 131 - Data Structures (3.00),[['CSCI 002 - Programming Concepts/Method 2 (4.00)']]
,,
College of the Sequoias,CPSC 240 - Computer Organization & Assembly Language (3.00),[['No Course Articulated']]
,,
