Cabrillo College,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 5A - Analytic Geometry and Calculus I (5.00)']]
Cabrillo College,MATH 31B - Integration and Infinite Series (4.00),[['MATH 5B - Analytic Geometry and Calculus II (5.00)']]
Cabrillo College,MATH 32A - Calculus of Several Variables (4.00),[['MATH 5C - Analytic Geometry and Calculus III (5.00)']]
Cabrillo College,MATH 32B - Calculus of Several Variables (4.00),[['MATH 5C - Analytic Geometry and Calculus III (5.00)']]
Cabrillo College,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 6 - Introduction to Linear Algebra (3.00)']]
Cabrillo College,MATH 33B - Differential Equations (4.00),[['MATH 7 - Introduction to Differential Equations (3.00)']]
Cabrillo College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHYS 4A - Physics for Scientists and Engineers I (5.00)', 'PHYS 4B - Physics for Scientists and Engineers II (5.00)', 'PHYS 4C - Physics for Scientists and Engineers III (5.00)']]"
Cabrillo College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ","[['ENGL 1A - College Composition (3.00)'], ['ENGL 1AH - Honors College Composition (3.00)']]"
Cabrillo College,One additional course in English composition,"[['ENGL 1C - Advanced Composition (3.00)'], ['PHILO 49 - Introduction to Critical Thinking (3.00)', 'ENGL 2 - Composition and Critical Thinking (3.00)']]"
Cabrillo College,One course in computer programming: C++ preferred,"[['CS 11 - Introduction to Programming Concepts and Methodology,'], [' C++ (4.00)']]"
