City College of San Francisco,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 110A - Calculus I (5.00)']]
City College of San Francisco,MATH 31B - Integration and Infinite Series (4.00),[['MATH 110B - Calculus II (5.00)']]
City College of San Francisco,MATH 32A - Calculus of Several Variables (4.00),[['MATH 110C - Calculus III (5.00)']]
City College of San Francisco,MATH 32B - Calculus of Several Variables (4.00),[['MATH 110C - Calculus III (5.00)']]
City College of San Francisco,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 120 - Linear Algebra (3.00)']]
City College of San Francisco,MATH 33B - Differential Equations (4.00),[['MATH 125 - Differential Equations (3.00)']]
City College of San Francisco,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHYC 4A - Classical Mechanics for Scientists and Engineers'], ['MATH 130 - Linear Algebra and Differential Equations (5.00)'], ['MATH 130 - Linear Algebra and Differential Equations (5.00)'], [' (3.00)', 'PHYC 4B - Electromagnetism for Scientists and Engineers (3.00)', 'PHYC 4C - Waves and Thermodynamics for Scientists and Engineers (3.00)', 'PHYC 4AL - Mechanics Laboratory for Scientists and Engineers (1.00)']]"
City College of San Francisco,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ","[['ENGL 1A - College Reading and Composition (4.00)'], ['PHYC 4BL - Electromagnetism Laboratory for Scientists and Engineers (1.00)']]"
City College of San Francisco,One additional course in English composition,"[['ENGL 1B - Writing about Literature (4.00)'], ['ENGL 1C - Writing about Nonfiction (4.00)']]"
City College of San Francisco,One course in computer programming: C++ preferred,"[['CS 110B - Programming Fundamentals: C++ (4.00)'], ['ENGN 38 - Introduction to Programming Concepts and Methodologies for Engineers (3.00)']]"
