City College of San Francisco,CSE 020 - Introduction to Computing I (2.00),"[['ENGN 38 - Introduction to Programming Concepts and', ' Methodologies for Engineers (3.00)']]"
City College of San Francisco,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
City College of San Francisco,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),"[['CS 110A - Intro to Programming (4.00)'], ['CS 131B - Programming Fundamentals: Python (4.00)']]"
City College of San Francisco,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MATH 110A - Calculus I (5.00)']]
City College of San Francisco,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,[['MATH 110B - Calculus II (5.00)']]
City College of San Francisco,MATH 023 - Vector Calculus (4.00),[['MATH 110C - Calculus III (5.00)']]
City College of San Francisco,MATH 024 - Linear Algebra and Differential Equations (4.00),"[['MATH 130 - Linear Algebra and Differential Equations (5.00)'], ['MATH 120 - Linear Algebra (3.00)', 'MATH 125 - Differential Equations (3.00)']]"
City College of San Francisco,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),"[['PHYC 4A - Classical Mechanics for Scientists and Engineers (3.00)', 'PHYC 4AL - Mechanics Laboratory for Scientists and Engineers (1.00)']]"
City College of San Francisco,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),"[['PHYC 4B - Electromagnetism for Scientists and Engineers (3.00)', 'PHYC 4BL - Electromagnetism Laboratory for Scientists and Engineers (1.00)', 'PHYC 4C - Waves and Thermodynamics for Scientists and Engineers (3.00)', 'PHYC 4CL - Waves and Thermodynamics Laboratory for Scientists and Engineers (1.00)']]"
City College of San Francisco,CSE 015 - Discrete Mathematics (4.00),[['MATH 115 - Discrete Mathematics (3.00)']]
City College of San Francisco,CSE 022 - Introduction to Programming (4.00),[['CS 110A - Intro to Programming (4.00)']]
City College of San Francisco,CSE 024 - Advanced Programming (4.00),[['CS 110B - Programming Fundamentals: C++ (4.00)']]
City College of San Francisco,CSE 030 - Data Structures (4.00),"[['CS 110C - Data Structures and Algorithms: C++ (4.00)'], ['CS 111C - Data Structures and Algorithms: Java (4.00)']]"
City College of San Francisco,CSE 031 - Computer Organization and Assembly Language (4.00),[['CS 270 - Computer Architecture with Assembly Language (4.00)']]
City College of San Francisco,ENGR 065 - Circuit Theory (4.00),"[['ENGN 20 - Introduction to Circuit Analysis (3.00)', 'ENGN 20L - Introduction to Circuit Analysis Laboratory (1.00)', 'BIOLOGICAL OR ENVIRONMENTAL SYSTEMS SCIENCE REQUIREMENT']]"
City College of San Francisco,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['No Course Articulated']]
City College of San Francisco,MATH 032 - Probability and Statistics (4.00),[['No Course Articulated']]
