City College of San Francisco,CSE 8A - Introduction to Programming and Computational Problem Solving I (4.00),[['No Course Articulated']]
City College of San Francisco,CSE 8B - Introduction to Programming and Computational Problem Solving II (4.00),[['CS 111B - Programming Fundamentals: Java (4.00)']]
City College of San Francisco,CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace (4.00),[['CS 111B - Programming Fundamentals: Java (4.00)']]
City College of San Francisco,CSE 12 - Basic Data Structures and Object-Oriented Design (4.00) ,"[['CS 110C - Data Structures and Algorithms: C++ (4.00)'], ['CS 111C - Data Structures and Algorithms: Java (4.00)']]"
City College of San Francisco,CSE 15L - Software Tools and Techniques Laboratory (2.00),[['No Course Articulated']]
City College of San Francisco,CSE 20 - Discrete Mathematics (4.00),[['MATH 115 - Discrete Mathematics (3.00)']]
City College of San Francisco,CSE 21 - Mathematics for Algorithms and Systems (4.00),[['No Course Articulated']]
City College of San Francisco,CSE 30 - Computer Organization and Systems Programming (4.00) ,[['CS 270 - Computer Architecture with Assembly Language (4.00)']]
City College of San Francisco,MATH 18 - Linear Algebra (4.00),[['MATH 120 - Linear Algebra (3.00)']]
City College of San Francisco,MATH 20A - Calculus for Science and Engineering (4.00),[['MATH 110A - Calculus I (5.00)']]
City College of San Francisco,MATH 20B - Calculus for Science and Engineering (4.00),[['MATH 110B - Calculus II (5.00)']]
City College of San Francisco,MATH 20C - Calculus and Analytic Geometry for Science and Engineering (4.00),[['MATH 110C - Calculus III (5.00)']]
City College of San Francisco,BILD 1 - The Cell (4.00),"[['BIO 100A - General Biology (5.00)', 'PHYS 2B - Physics - Electricity and Magnetism (4.00)', 'BIO 100B - General Biology (5.00)']]"
City College of San Francisco,BILD 2 - Multicellular Life (4.00),"[['BIO 100A - General Biology (5.00)', 'BIO 100B - General Biology (5.00)']]"
