City College of San Francisco,"MATH 3A - Calculus with Applications, First Course (4.00)",[['MATH 110A - Calculus I (5.00)']]
City College of San Francisco,"MATH 3B - Calculus with Applications, Second Course (4.00)",[['MATH 110B - Calculus II (5.00)']]
City College of San Francisco,MATH 4A - Linear Algebra with Applications (4.00),"[['MATH 120 - Linear Algebra (3.00)'], [' Required for admission '], ['MATH 130 - Linear Algebra and Differential Equations (5.00)'], [' Required for admission ']]"
City College of San Francisco,MATH 4B - Differential Equations (4.00),"[['MATH 125 - Differential Equations (3.00)'], ['MATH 130 - Linear Algebra and Differential Equations (5.00)']]"
City College of San Francisco,PHYS 1 - Basic Physics (4.00),"[['PHYC 4A - Classical Mechanics for Scientists and Engineers (3.00)', 'PHYC 4AL - Mechanics Laboratory for Scientists and Engineers (1.00)']]"
City College of San Francisco,PHYS 2 - Basic Physics (4.00),"[['PHYC 4A - Classical Mechanics for Scientists and Engineers (3.00)', 'PHYC 4AL - Mechanics Laboratory for Scientists and Engineers (1.00)', 'PHYC 4C - Waves and Thermodynamics for Scientists and Engineers (3.00)', 'PHYC 4CL - Waves and Thermodynamics Laboratory for Scientists and Engineers (1.00)', ' Required for admission ']]"
City College of San Francisco,PHYS 3 - Basic Physics (3.00) & PHYS 3L - Physics Laboratory (1.00),"[['PHYC 4B - Electromagnetism for Scientists and Engineers (3.00)', 'PHYC 4BL - Electromagnetism Laboratory for Scientists and Engineers (1.00)', 'PHYC 4C - Waves and Thermodynamics for Scientists and Engineers (3.00)', 'PHYC 4CL - Waves and Thermodynamics Laboratory for Scientists and Engineers (1.00)']]"
City College of San Francisco,CMPSC 16 - Problem Solving with Computers I (4.00),[['CS 110B - Programming Fundamentals: C++ (4.00)']]
City College of San Francisco,CMPSC 24 - Problem Solving with Computers II (4.00),[['CS 110C - Data Structures and Algorithms: C++ (4.00)']]
City College of San Francisco,CMPSC 40 - Foundations of Computer Science (5.00),"[['MATH 115 - Discrete Mathematics (3.00)'], [' Required for admission ']]"
