Coastline Community College,ECS 020 - Discrete Mathematics For Computer Science (4.00),"[['No Course Articulated'], ['PREPARATION COURSES FOR THE MAJOR']]"
Coastline Community College,ECS 036A - Programming & Problem Solving (4.00),[['No Course Articulated']]
Coastline Community College,ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00),[['No Course Articulated']]
Coastline Community College,"ECS 036C - Data Structures, Algorithms, & Programming (4.00) ",[['ICS C123 - Fundamental Data Structures (3.00)']]
Coastline Community College,ECS 050 - Computer Organization & Machine-Dependent Programming (4.00),[['No Course Articulated']]
Coastline Community College,MAT 021A - Calculus (4.00),[['MATH C180 - Calculus 1 (5.00)']]
Coastline Community College,MAT 021B - Calculus (4.00),[['MATH C185 - Calculus 2 (5.00)']]
Coastline Community College,MAT 021C - Calculus (4.00),"[['MATH C185 - Calculus 2 (5.00)'], [' Equations (5.00)']]"
Coastline Community College,MAT 022A - Linear Algebra (3.00),[['MATH C285 - Introduction to Linear Algebra and Differential']]
Coastline Community College,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00),[['No Course Articulated']]
Coastline Community College,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00),[['BIOL C185 - Diversity of Organisms (5.00)']]
