Coastline Community College,CSE 020 - Introduction to Computing I (2.00),[['No Course Articulated']]
Coastline Community College,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Coastline Community College,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Coastline Community College,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MATH C180 - Calculus 1 (5.00)']]
Coastline Community College,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,[['MATH C185 - Calculus 2 (5.00)']]
Coastline Community College,MATH 023 - Vector Calculus (4.00),[['MATH C280 - Calculus 3 (5.00)']]
Coastline Community College,MATH 024 - Linear Algebra and Differential Equations (4.00),"[['MATH C285 - Introduction to Linear Algebra and Differential', ' Equations (5.00)']]"
Coastline Community College,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),[['PHYS C185 - Calculus Based Physics: Mechanics (4.00)']]
Coastline Community College,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),"[['PHYS C280 - Calculus Based Physics: Electricity and Magnetism'], [' (4.00)']]"
Coastline Community College,CSE 015 - Discrete Mathematics (4.00),[['MATH C230 - Introduction to Discrete Math (5.00)']]
Coastline Community College,CSE 022 - Introduction to Programming (4.00),[['No Course Articulated']]
Coastline Community College,CSE 024 - Advanced Programming (4.00),[['No Course Articulated']]
Coastline Community College,CSE 030 - Data Structures (4.00),[['ICS C123 - Fundamental Data Structures (3.00)']]
Coastline Community College,CSE 031 - Computer Organization and Assembly Language (4.00),[['No Course Articulated']]
Coastline Community College,ENGR 065 - Circuit Theory (4.00),"[['No Course Articulated'], ['BIOLOGICAL OR ENVIRONMENTAL SYSTEMS SCIENCE REQUIREMENT']]"
Coastline Community College,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['No Course Articulated']]
Coastline Community College,MATH 032 - Probability and Statistics (4.00),[['No Course Articulated']]
