Coastline Community College,CSE 8A - Introduction to Programming and Computational Problem Solving I (4.00),[['No Course Articulated']]
Coastline Community College,CSE 8B - Introduction to Programming and Computational Problem Solving II (4.00),[['No Course Articulated']]
Coastline Community College,CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace (4.00),[['No Course Articulated']]
Coastline Community College,CSE 12 - Basic Data Structures and Object-Oriented Design (4.00) ,[['ICS C123 - Fundamental Data Structures (3.00)']]
Coastline Community College,CSE 15L - Software Tools and Techniques Laboratory (2.00),[['No Course Articulated']]
Coastline Community College,CSE 20 - Discrete Mathematics (4.00),[['No Course Articulated']]
Coastline Community College,CSE 21 - Mathematics for Algorithms and Systems (4.00),[['No Course Articulated']]
Coastline Community College,CSE 30 - Computer Organization and Systems Programming (4.00) ,[['No Course Articulated']]
Coastline Community College,MATH 18 - Linear Algebra (4.00),[['MATH C285 - Introduction to Linear Algebra and Differential']]
Coastline Community College,MATH 20A - Calculus for Science and Engineering (4.00),[['MATH C180 - Calculus 1 (5.00)']]
Coastline Community College,MATH 20B - Calculus for Science and Engineering (4.00),[['MATH C185 - Calculus 2 (5.00)']]
Coastline Community College,MATH 20C - Calculus and Analytic Geometry for Science and Engineering (4.00),[['MATH C280 - Calculus 3 (5.00)']]
Coastline Community College,BILD 1 - The Cell (4.00),"[['BIOL C180 - Cell and Molecular Biology (4.00)', 'CHEM 6B - General Chemistry II (4.00)', 'BIOL C185 - Diversity of Organisms (5.00)']]"
Coastline Community College,BILD 2 - Multicellular Life (4.00),"[['BIOL C180 - Cell and Molecular Biology (4.00)', 'BIOL C185 - Diversity of Organisms (5.00)']]"
