College of Marin,CSE 020 - Introduction to Computing I (2.00),[['No Course Articulated']]
College of Marin,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
College of Marin,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),"[['COMP 130 - Introduction to Computer Programming Using C++'], [' (4.00)'], ['COMP 135 - Introduction to Computer Programming Using Java (4.00)']]"
College of Marin,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MATH 123 - Analytic Geometry and Calculus I (5.00)']]
College of Marin,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,[['MATH 124 - Analytic Geometry and Calculus II (5.00)']]
College of Marin,MATH 023 - Vector Calculus (4.00),"[['MATH 223 - Analytic Geometry, Vector Analysis and Calculus III']]"
College of Marin,MATH 024 - Linear Algebra and Differential Equations (4.00),"[['MATH 116 - Linear Algebra (4.00)'], [' (5.00)', 'MATH 224 - Elementary Differential Equations (4.00)']]"
College of Marin,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),[['PHYS 207A - Mechanics and Properties of Matter (5.00)']]
College of Marin,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),[['PHYS 207B - Electricity and Magnetism (5.00)']]
College of Marin,CSE 015 - Discrete Mathematics (4.00),"[['No Course Articulated'], ['ADDITIONAL MAJOR PREPARATION COURSES']]"
College of Marin,CSE 022 - Introduction to Programming (4.00),"[['COMP 130 - Introduction to Computer Programming Using C++'], [' (4.00)'], ['COMP 135 - Introduction to Computer Programming Using Java (4.00)']]"
College of Marin,CSE 024 - Advanced Programming (4.00),[['No Course Articulated']]
College of Marin,CSE 030 - Data Structures (4.00),[['COMP 220 - Data Structures and Algorithms (3.00)']]
College of Marin,CSE 031 - Computer Organization and Assembly Language (4.00),[['COMP 160 - Computer Organization: An Assembly Language']]
College of Marin,ENGR 065 - Circuit Theory (4.00),"[['ENGG 220 - Electric Circuit Analysis (3.00)', ' Perspective (3.00)', 'ENGG 220L - Electric Circuits Lab (1.00)']]"
College of Marin,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['No Course Articulated']]
College of Marin,MATH 032 - Probability and Statistics (4.00),[['No Course Articulated']]
