College of the Canyons,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 211 - Calculus I (5.00)']]
College of the Canyons,MATH 31B - Integration and Infinite Series (4.00),[['MATH 212 - Calculus II (5.00)']]
College of the Canyons,MATH 32A - Calculus of Several Variables (4.00),[['MATH 213 - Calculus III (5.00)']]
College of the Canyons,MATH 32B - Calculus of Several Variables (4.00),[['MATH 213 - Calculus III (5.00)']]
College of the Canyons,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 214 - Linear Algebra (4.00)']]
College of the Canyons,MATH 33B - Differential Equations (4.00),[['MATH 215 - Differential Equations (4.00)']]
College of the Canyons,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHYSIC 220 - Physics for Scientists and Engineers: Mechanics of', ' Solids and Fluids (4.00)', 'PHYSIC 221 - Physics for Scientists and Engineers: Electricity and Magnetism (4.00)', 'PHYSIC 222 - Physics for Sci and Engrs: Waves, Heat, Optics and Modern Physics (4.00)']]"
College of the Canyons,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ","[['ENGL 101 - English Composition (4.00)'], ['ENGL 101H - Honors - English Composition (4.00)']]"
College of the Canyons,One additional course in English composition,"[['ENGL 103 - Critical Reading, Writing and Thinking (3.00)'], ['ENGL 103H - Critical Reading, Writing, and Thinking - Honors (3.00)']]"
College of the Canyons,One course in computer programming: C++ preferred,[['CMPSCI 236 - C++ Object Oriented Programming (3.00)']]
