College of the Redwoods,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 50A - Differential Calculus (4.00)']]
College of the Redwoods,MATH 31B - Integration and Infinite Series (4.00),[['MATH 50B - Integral Calculus (4.00)']]
College of the Redwoods,MATH 32A - Calculus of Several Variables (4.00),[['MATH 50C - Multivariable Calculus (4.00)']]
College of the Redwoods,MATH 32B - Calculus of Several Variables (4.00),[['MATH 50C - Multivariable Calculus (4.00)']]
College of the Redwoods,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 45 - Linear Algebra (4.00)']]
College of the Redwoods,MATH 33B - Differential Equations (4.00),[['MATH 55 - Differential Equations (4.00)']]
College of the Redwoods,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHYS 4A - Calculus-Based Physics: Mechanics (4.00)', 'PHYS 4B - Calculus-Based Physics: Electricity and Magnetism (4.00)']]"
College of the Redwoods,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ",[['ENGL 1A - College Composition (4.00)']]
College of the Redwoods,One additional course in English composition,[['ENGL 1B - Critical Inquiry and Literature (3.00)']]
College of the Redwoods,One course in computer programming: C++ preferred,"[['No Course Articulated'], ['COM SCI 31 - Introduction to Computer Science I (4.00)']]"
