Copper Mountain College,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 001A - Calculus (4.00)']]
Copper Mountain College,MATH 31B - Integration and Infinite Series (4.00),[['MATH 001B - Calculus (4.00)']]
Copper Mountain College,MATH 32A - Calculus of Several Variables (4.00),[['MATH 002A - Multivariate Calculus (5.00)']]
Copper Mountain College,MATH 32B - Calculus of Several Variables (4.00),[['MATH 002A - Multivariate Calculus (5.00)']]
Copper Mountain College,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 002B - Linear Algebra (4.00)']]
Copper Mountain College,MATH 33B - Differential Equations (4.00),[['MATH 002C - Ordinary Differential Equations (4.00)']]
Copper Mountain College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,[['PH 004A - Physics for Scientists and Engineers (4.00)']]
Copper Mountain College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ","[['ENG 003A - College Composition (3.00)', 'PH 004B - Physics for Scientists and Engineers (4.00)']]"
Copper Mountain College,One additional course in English composition,"[['ENG 001B - Composition and Literature (3.00)'], ['SOC 004 - Sociological Analysis and Critical Thinking (3.00)']]"
Copper Mountain College,One course in computer programming: C++ preferred,"[['CS 089 - C++ Programming I (3.00)', 'CS 089A - C++ Programming II (3.00)']]"
