Copper Mountain College,"MATH 3A - Calculus with Applications, First Course (4.00)",[['MATH 001A - Calculus (4.00)']]
Copper Mountain College,"MATH 3B - Calculus with Applications, Second Course (4.00)",[['MATH 001B - Calculus (4.00)']]
Copper Mountain College,MATH 4A - Linear Algebra with Applications (4.00),[['MATH 002B - Linear Algebra (4.00)']]
Copper Mountain College,MATH 4B - Differential Equations (4.00),"[['MATH 002C - Ordinary Differential Equations (4.00)'], [' Required for admission ']]"
Copper Mountain College,PHYS 1 - Basic Physics (4.00),"[['PH 004A - Physics for Scientists and Engineers (4.00)'], [' Required for admission ']]"
Copper Mountain College,PHYS 2 - Basic Physics (4.00),"[['PH 004A - Physics for Scientists and Engineers (4.00)'], ['PH 004B - Physics for Scientists and Engineers (4.00)']]"
Copper Mountain College,PHYS 3 - Basic Physics (3.00) & PHYS 3L - Physics Laboratory (1.00),[['PH 004B - Physics for Scientists and Engineers (4.00)']]
Copper Mountain College,CMPSC 16 - Problem Solving with Computers I (4.00),[['CS 089 - C++ Programming I (3.00)']]
Copper Mountain College,CMPSC 24 - Problem Solving with Computers II (4.00),[['CS 089A - C++ Programming II (3.00)']]
Copper Mountain College,CMPSC 40 - Foundations of Computer Science (5.00),"[['MATH 004 - Discrete Structures (3.00)'], [' Required for admission ']]"
