Crafton Hills College,ECS 020 - Discrete Mathematics For Computer Science (4.00),"[['CSCI 200 - Discrete Structures (4.00)'], ['MATH 200 - Discrete Structures (4.00)']]"
Crafton Hills College,ECS 036A - Programming & Problem Solving (4.00),[['CIS 113 - Java Programming (3.00)']]
Crafton Hills College,ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00),"[['CSCI 120 - Introduction to Computer Science II (C++) (3.00)'], ['CSCI 110 - Introduction to Computer Science I (C++) (3.00)']]"
Crafton Hills College,"ECS 036C - Data Structures, Algorithms, & Programming (4.00) ",[['CSCI 230 - Data Structures and Algorithms (Java) (3.00)']]
Crafton Hills College,ECS 050 - Computer Organization & Machine-Dependent Programming (4.00),"[['CSCI 240 - Computer Organization and Assembly Language'], [' Programming (3.00)']]"
Crafton Hills College,MAT 021A - Calculus (4.00),[['MATH 250 - Single Variable Calculus I (4.00)']]
Crafton Hills College,MAT 021B - Calculus (4.00),[['MATH 251 - Single Variable Calculus II (4.00)']]
Crafton Hills College,MAT 021C - Calculus (4.00),"[['MATH 252 - Multivariable Calculus (5.00)'], [' Credit for articulated courses in one series only']]"
Crafton Hills College,MAT 022A - Linear Algebra (3.00),[['MATH 265 - Linear Algebra (4.00)']]
Crafton Hills College,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00),[['BIOL 130 - Cell and Molecular Biology (4.00)']]
Crafton Hills College,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00),[['BIOL 131 - Populations and Organisms (4.00)']]
Crafton Hills College,BIS 002A - Introduction to Biology: Essentials of Life on Earth (5.00),[['BIOL 131 - Populations and Organisms (4.00)']]
