Cuyamaca College,ECS 020 - Discrete Mathematics For Computer Science (4.00),[['MATH 245 - Discrete Mathematics (3.00)']]
Cuyamaca College,ECS 036A - Programming & Problem Solving (4.00),"[['CS 119 - Program Design and Development (3.00)'], ['CS 181 - Introduction to C++ Programming (4.00)'], ['CS 182 - Introduction to JAVA Programming (4.00)']]"
Cuyamaca College,ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00),[['CS 281 - Intermediate C++ Programming and Fundamental Data']]
Cuyamaca College,"ECS 036C - Data Structures, Algorithms, & Programming (4.00) ",[['No Course Articulated']]
Cuyamaca College,ECS 050 - Computer Organization & Machine-Dependent Programming (4.00),[['No Course Articulated']]
Cuyamaca College,MAT 021A - Calculus (4.00),[['MATH 180 - Analytic Geometry and Calculus I (5.00)']]
Cuyamaca College,MAT 021B - Calculus (4.00),[['MATH 280 - Analytic Geometry and Calculus II (4.00)']]
Cuyamaca College,MAT 021C - Calculus (4.00),"[['MATH 281 - Multivariable Calculus (4.00)'], [' Credit for articulated courses in one series only']]"
Cuyamaca College,MAT 022A - Linear Algebra (3.00),[['MATH 284 - Linear Algebra (3.00)']]
Cuyamaca College,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00),"[['BIO 230 - Principles of Cellular, Molecular and Evolutionary Biology']]"
Cuyamaca College,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00),"[['BIO 240 - Principles of Ecology, Evolution and Organismal Biology']]"
