Glendale Community College,CSE 8A - Introduction to Programming and Computational Problem Solving I (4.00),[['No Course Articulated']]
Glendale Community College,CSE 8B - Introduction to Programming and Computational Problem Solving II (4.00),[['No Course Articulated']]
Glendale Community College,CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace (4.00),[['CS/IS 139 - JAVA (3.00)']]
Glendale Community College,CSE 12 - Basic Data Structures and Object-Oriented Design (4.00) ,[['No Course Articulated']]
Glendale Community College,CSE 15L - Software Tools and Techniques Laboratory (2.00),[['No Course Articulated']]
Glendale Community College,CSE 20 - Discrete Mathematics (4.00),[['CS/IS 125 - Discrete Structures for Computing (4.00)']]
Glendale Community College,CSE 21 - Mathematics for Algorithms and Systems (4.00),[['No Course Articulated']]
Glendale Community College,CSE 30 - Computer Organization and Systems Programming (4.00) ,[['No Course Articulated']]
Glendale Community College,MATH 18 - Linear Algebra (4.00),[['MATH 107 - Linear Algebra (5.00)']]
Glendale Community College,MATH 20A - Calculus for Science and Engineering (4.00),[['MATH 103E - Calculus and Analytic Geometry I (5.00)']]
Glendale Community College,MATH 20B - Calculus for Science and Engineering (4.00),[['MATH 104E - Calculus and Analytic Geometry II (5.00)']]
Glendale Community College,MATH 20C - Calculus and Analytic Geometry for Science and Engineering (4.00),"[['MATH 105 - Multivariable and Vector Calculus (5.00)'], ['MATH 103EH - Honors Calculus and Analytic Geometry I (5.00)'], ['MATH 104EH - Honors Calculus and Analytic Geometry II (5.00)'], ['MATH 105H - Honors Multivariable and Vector Calculus (5.00)']]"
Glendale Community College,BILD 1 - The Cell (4.00),"[['BIOL 101 - General Biology I (4.00)', 'CHEM 6B - General Chemistry II (4.00)', 'BIOL 102 - General Biology II (5.00)']]"
Glendale Community College,BILD 2 - Multicellular Life (4.00),"[['BIOL 101 - General Biology I (4.00)', 'BIOL 102 - General Biology II (5.00)']]"
