Hartnell College,MATH 31A - Differential and Integral Calculus (4.00),[['MAT 3A - Analytic Geometry and Calculus I (4.00)']]
Hartnell College,MATH 31B - Integration and Infinite Series (4.00),[['MAT 3B - Analytic Geometry and Calculus II (4.00)']]
Hartnell College,MATH 32A - Calculus of Several Variables (4.00),[['MAT 3C - Analytic Geometry and Calculus III (4.00)']]
Hartnell College,MATH 32B - Calculus of Several Variables (4.00),[['MAT 3C - Analytic Geometry and Calculus III (4.00)']]
Hartnell College,MATH 33A - Linear Algebra and Applications (4.00),[['MAT 4 - Linear Algebra (3.00)']]
Hartnell College,MATH 33B - Differential Equations (4.00),[['MAT 5 - Differential Equations (3.00)']]
Hartnell College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHY 4A - General Physics I/ Mechanics (4.00)', 'PHY 4B - General Physics II/ Electricity and Magnetism (4.00)', 'PHY 4C - General Physics III/ Waves, Heat, Light, Sound and Modern Physics (4.00)']]"
Hartnell College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ",[['ENG 1A - College Composition and Reading (3.00)']]
Hartnell College,One additional course in English composition,"[['ENG 1B - College Literature and Composition (3.00)'], ['ENG 2 - Critical Thinking and Writing (3.00)']]"
Hartnell College,One course in computer programming: C++ preferred,"[['CSS 2A - Object Oriented Programming (4.00)'], ['COM SCI 31 - Introduction to Computer Science I (4.00)']]"
