Hartnell College,"MATH 3A - Calculus with Applications, First Course (4.00)",[['MAT 3A - Analytic Geometry and Calculus I (4.00)']]
Hartnell College,"MATH 3B - Calculus with Applications, Second Course (4.00)",[['MAT 3B - Analytic Geometry and Calculus II (4.00)']]
Hartnell College,MATH 4A - Linear Algebra with Applications (4.00),[['MAT 4 - Linear Algebra (3.00)']]
Hartnell College,MATH 4B - Differential Equations (4.00),"[['MAT 5 - Differential Equations (3.00)'], [' Required for admission ']]"
Hartnell College,PHYS 1 - Basic Physics (4.00),"[['PHY 4A - General Physics I/ Mechanics (4.00)'], [' Required for admission ']]"
Hartnell College,PHYS 2 - Basic Physics (4.00),"[['PHY 4A - General Physics I/ Mechanics (4.00)', 'PHY 4C - General Physics III/ Waves, Heat, Light, Sound and Modern Physics (4.00)']]"
Hartnell College,PHYS 3 - Basic Physics (3.00) & PHYS 3L - Physics Laboratory (1.00),[['PHY 4B - General Physics II/ Electricity and Magnetism (4.00)']]
Hartnell College,CMPSC 16 - Problem Solving with Computers I (4.00),[['CSS 2A - Object Oriented Programming (4.00)']]
Hartnell College,CMPSC 24 - Problem Solving with Computers II (4.00),[['CSS 2B - Data Structures and Algorithims (4.00)']]
Hartnell College,CMPSC 40 - Foundations of Computer Science (5.00),"[['CSS 7 - Discrete Structures (4.00)'], ['MAT 7 - Discrete Mathematics (4.00)']]"
