Lake Tahoe Community College,MATH 31A - Differential and Integral Calculus (4.00),[['MAT 105 - Calculus and Analytic Geometry (Part I) (5.00)']]
Lake Tahoe Community College,MATH 31B - Integration and Infinite Series (4.00),[['MAT 106 - Calculus and Analytic Geometry (Part II) (5.00)']]
Lake Tahoe Community College,MATH 32A - Calculus of Several Variables (4.00),[['MAT 107 - Calculus and Analytic Geometry (Part III) (5.00)']]
Lake Tahoe Community College,MATH 32B - Calculus of Several Variables (4.00),[['MAT 202 - Calculus and Analytic Geometry (Part IV) (5.00)']]
Lake Tahoe Community College,MATH 33A - Linear Algebra and Applications (4.00),[['MAT 203 - Linear Algebra (5.00)']]
Lake Tahoe Community College,MATH 33B - Differential Equations (4.00),[['MAT 204 - Differential Equations (5.00)']]
Lake Tahoe Community College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHY 107 - General Physics (Calculus) - Mechanics (6.00)', 'PHY 207 - General Physics (Calculus) - Electricity and Magnetism (6.00)', 'PHY 108 - General Physics (Calculus) - Waves, Thermodynamics and Light (6.00)', 'PHY 208 - General Physics (Calculus) - Optics and Modern Physics (6.00)']]"
Lake Tahoe Community College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ",[['ENG 101 - Reading and Composition (5.00)']]
Lake Tahoe Community College,One additional course in English composition,"[['ENG 102 - Introduction to Literature (4.00)'], ['ENG 103 - Critical Reasoning: Writing the Research Paper (5.00)']]"
Lake Tahoe Community College,One course in computer programming: C++ preferred,"[['CIS 120A - Computer Programming I (4.00)'], ['COM SCI 31 - Introduction to Computer Science I (4.00)']]"
