Merced College,CSE 020 - Introduction to Computing I (2.00),[['No Course Articulated']]
Merced College,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Merced College,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),"[['CPSC -06 - Programming Concepts and Methodology I (3.00)'], ['ENGR -14 - C++ Programming (3.00)']]"
Merced College,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MATH -04A - Calculus I (4.00)']]
Merced College,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,[['MATH -04B - Calculus II (4.00)']]
Merced College,MATH 023 - Vector Calculus (4.00),[['MATH -04C - Multivariable Calculus (4.00)']]
Merced College,MATH 024 - Linear Algebra and Differential Equations (4.00),"[['MATH -06 - Elementary Differential Equations (3.00)', 'MATH -08 - Linear Algebra (3.00)'], ['MATH -09 - Differential Equations with Linear Algebra (4.00)']]"
Merced College,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),[['PHYS -04A - Physics I (4.00)']]
Merced College,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),"[['PHYS -04B - Physics II (4.00)'], ['ADDITIONAL MAJOR PREPARATION COURSES']]"
Merced College,CSE 015 - Discrete Mathematics (4.00),[['CPSC -07 - Discrete Structures (3.00)']]
Merced College,CSE 022 - Introduction to Programming (4.00),"[['CPSC -06 - Programming Concepts and Methodology I (3.00)'], ['ENGR -14 - C++ Programming (3.00)']]"
Merced College,CSE 024 - Advanced Programming (4.00),[['CPSC -25 - Advanced C++ Programming (4.00)']]
Merced College,CSE 030 - Data Structures (4.00),[['CPSC -39 - Programming Concepts and Methodology II (4.00)']]
Merced College,CSE 031 - Computer Organization and Assembly Language (4.00),[['CPSC -42 - Computer Architecture and Organization (3.00)']]
Merced College,ENGR 065 - Circuit Theory (4.00),"[['ENGR -18 - Electrical Circuits Analysis (4.00)'], ['BIOLOGICAL OR ENVIRONMENTAL SYSTEMS SCIENCE REQUIREMENT']]"
Merced College,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['BIOL -02 - Human Biology (4.00)']]
Merced College,MATH 032 - Probability and Statistics (4.00),[['MATH -32 - Probability and Statistics for STEM (4.00)']]
