MiraCosta College,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 150 - Calculus and Analytic Geometry I (5.00)']]
MiraCosta College,MATH 31B - Integration and Infinite Series (4.00),[['MATH 155 - Calculus and Analytic Geometry II (4.00)']]
MiraCosta College,MATH 32A - Calculus of Several Variables (4.00),[['MATH 260 - Calculus and Analytic Geometry III (4.00)']]
MiraCosta College,MATH 32B - Calculus of Several Variables (4.00),[['MATH 260 - Calculus and Analytic Geometry III (4.00)']]
MiraCosta College,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 270 - Linear Algebra (4.00)']]
MiraCosta College,MATH 33B - Differential Equations (4.00),"[['MATH 265 - Differential Equations (4.00)'], ['MATH 270H - Linear Algebra (Honors) (4.00)'], ['MATH 265H - Differential Equations (Honors) (4.00)'], ['MATH 260H - Calculus and Analytic Geometry III (Honors) (4.00)'], ['MATH 260H - Calculus and Analytic Geometry III (Honors) (4.00)']]"
MiraCosta College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHYS 151 - Principles of Physics I (4.00)', 'PHYS 152 - Principles of Physics II (4.00)', 'PHYS 253 - Principles of Physics III (4.00)'], ['PHYS 151H - Principles of Physics I (Honors) (4.00)', 'PHYS 152H - Principles of Physics II (Honors) (4.00)', 'PHYS 253H - Principles of Physics III (Honors) (4.00)']]"
MiraCosta College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ","[['ENGL 100 - Composition and Reading (4.00)'], ['ENGL 100H - Composition and Reading (Honors) (4.00)']]"
MiraCosta College,One additional course in English composition,"[['ENGL 201 - Critical Thinking, Composition, and Literature (4.00)'], ['ENGL 201H - Critical Thinking, Composition, and Literature (Honors) (4.00)'], ['ENGL 202 - Critical Thinking and Composition (4.00)'], ['ENGL 202H - Critical and Thinking and Composition (Honors) (4.00)']]"
MiraCosta College,One course in computer programming: C++ preferred,"[['No Course Articulated'], ['COM SCI 31 - Introduction to Computer Science I (4.00)']]"
