Modesto Junior College,CSE 020 - Introduction to Computing I (2.00),[['CSCI 270 - Introduction to Programming (3.00)']]
Modesto Junior College,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Modesto Junior College,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),[['CSCI 271 - Problem Solving and Programming 1 (3.00)']]
Modesto Junior College,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MATH 171 - Calculus: First Course (5.00)']]
Modesto Junior College,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,[['MATH 172 - Calculus: Second Course (4.00)']]
Modesto Junior College,MATH 023 - Vector Calculus (4.00),[['MATH 173 - Calculus: Third Course (5.00)']]
Modesto Junior College,MATH 024 - Linear Algebra and Differential Equations (4.00),"[['MATH 191 - Linear Algebra (3.00)', 'MATH 193 - Ordinary Differential Equations (3.00)']]"
Modesto Junior College,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),[['PHYS 101 - General Physics: Mechanics (4.00)']]
Modesto Junior College,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),"[['PHYS 102 - General Physics: Waves, Thermodynamics & Optics', ' (4.00)', 'PHYS 103 - General Physics: Electricity, Magnetism, & Modern Physics (4.00)']]"
Modesto Junior College,CSE 015 - Discrete Mathematics (4.00),[['CSCI 204 - Discrete Structures for Computer Science (3.00)']]
Modesto Junior College,CSE 022 - Introduction to Programming (4.00),[['CSCI 271 - Problem Solving and Programming 1 (3.00)']]
Modesto Junior College,CSE 024 - Advanced Programming (4.00),[['No Course Articulated']]
Modesto Junior College,CSE 030 - Data Structures (4.00),[['CSCI 272 - Problem Solving and Programming 2 (3.00)']]
Modesto Junior College,CSE 031 - Computer Organization and Assembly Language (4.00),[['CSCI 273 - Assembly Language Programming (3.00)']]
Modesto Junior College,ENGR 065 - Circuit Theory (4.00),"[['ENGR 141 - Introduction to Circuit Analysis (With Lab) (4.00)', 'MATH 193 - Ordinary Differential Equations (3.00)', 'BIOLOGICAL OR ENVIRONMENTAL SYSTEMS SCIENCE REQUIREMENT']]"
Modesto Junior College,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['No Course Articulated']]
Modesto Junior College,MATH 032 - Probability and Statistics (4.00),[['No Course Articulated']]
