Napa Valley College,CSE 020 - Introduction to Computing I (2.00),[['No Course Articulated']]
Napa Valley College,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Napa Valley College,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),"[['COMS 120 - Introduction to Programming Concepts and'], [' Methodologies (3.00)'], ['COMS 215 - Programming Concepts and Methodology I (3.00)']]"
Napa Valley College,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MATH 120 - Calculus I (5.00)']]
Napa Valley College,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,[['MATH 121 - Calculus II (5.00)']]
Napa Valley College,MATH 023 - Vector Calculus (4.00),[['MATH 221 - Multivariable Calculus (5.00)']]
Napa Valley College,MATH 024 - Linear Algebra and Differential Equations (4.00),"[['MATH 220 - Linear Algebra (3.00)', 'MATH 222 - Differential Equations (3.00)']]"
Napa Valley College,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),[['PHYS 140 - Physics for Scientists and Engineers 1 (4.00)']]
Napa Valley College,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),"[['PHYS 240 - Physics for Scientists & Engineers 2 (4.00)'], ['ADDITIONAL MAJOR PREPARATION COURSES']]"
Napa Valley College,CSE 015 - Discrete Mathematics (4.00),[['COMS 218 - Discrete Structures (3.00)']]
Napa Valley College,CSE 022 - Introduction to Programming (4.00),"[['COMS 120 - Introduction to Programming Concepts and'], [' Methodologies (3.00)'], ['COMS 215 - Programming Concepts and Methodology I (3.00)']]"
Napa Valley College,CSE 024 - Advanced Programming (4.00),[['No Course Articulated']]
Napa Valley College,CSE 030 - Data Structures (4.00),[['COMS 216 - Programming Concepts and Methodology II (3.00)']]
Napa Valley College,CSE 031 - Computer Organization and Assembly Language (4.00),[['No Course Articulated']]
Napa Valley College,ENGR 065 - Circuit Theory (4.00),"[['ENGI 242 - Circuits I (4.00)', 'MATH 222 - Differential Equations (3.00)']]"
Napa Valley College,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['No Course Articulated']]
Napa Valley College,MATH 032 - Probability and Statistics (4.00),[['No Course Articulated']]
