Orange Coast College,CSE 020 - Introduction to Computing I (2.00),[['No Course Articulated']]
Orange Coast College,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Orange Coast College,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),"[['CS A131 - Python Programming 1 (4.00)'], ['CS A140 - Introduction to C#.NET Programming (4.00)'], ['CS A150 - C++ Programming Language 1 (4.00)'], ['CS A170 - Java Programming 1 (4.00)']]"
Orange Coast College,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MATH A180 - Calculus 1 (4.00)']]
Orange Coast College,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,"[['MATH A182H - Honors Calculus 1 and 2 (5.00)'], ['MATH A180H - Honors Calculus 1 (4.00)'], ['MATH A185 - Calculus 2 (4.00)'], ['MATH A185H - Honors Calculus 2 (4.00)']]"
Orange Coast College,MATH 023 - Vector Calculus (4.00),[['MATH A280 - Calculus 3 (4.00)']]
Orange Coast College,MATH 024 - Linear Algebra and Differential Equations (4.00),"[['MATH A285 - Introduction to Linear Algebra and Differential'], ['MATH A280H - Honors Calculus 3 (5.00)'], [' Equations (4.00)'], ['MATH A285H - Honors Introduction to Linear Algebra and Differential Equations (5.00)']]"
Orange Coast College,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),"[['PHYS A185 - Calculus-Based Physics: Mechanics (4.00)'], ['PHYS A185H - Calculus-Based Physics: Mechanics Honors (4.00)']]"
Orange Coast College,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),"[['PHYS A280 - Calculus-Based Physics: Electricity/Magnetism (4.00)'], ['ADDITIONAL MAJOR PREPARATION COURSES']]"
Orange Coast College,CSE 015 - Discrete Mathematics (4.00),"[['CS A257 - Boolean Algebra & Logic (3.00)', 'CS A262 - Discrete Structures (3.00)']]"
Orange Coast College,CSE 022 - Introduction to Programming (4.00),[['CS A131 - Python Programming 1 (4.00)']]
Orange Coast College,CSE 024 - Advanced Programming (4.00),[['No Course Articulated']]
Orange Coast College,CSE 030 - Data Structures (4.00),"[['CS A200 - Data Structures (4.00)'], ['CS A170 - Java Programming 1 (4.00)']]"
Orange Coast College,CSE 031 - Computer Organization and Assembly Language (4.00),[['CS A216 - Computer Architecture (4.00)']]
Orange Coast College,ENGR 065 - Circuit Theory (4.00),"[['ENGR A285 - Engineering Circuits (4.00)'], ['BIOLOGICAL OR ENVIRONMENTAL SYSTEMS SCIENCE REQUIREMENT']]"
Orange Coast College,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['No Course Articulated']]
Orange Coast College,MATH 032 - Probability and Statistics (4.00),[['No Course Articulated']]
