Reedley College,ECS 020 - Discrete Mathematics For Computer Science (4.00),[['CSCI 26 - Discrete Mathematics for Computer Science (4.00)']]
Reedley College,ECS 036A - Programming & Problem Solving (4.00),[['CSCI 40 - Programming Concepts and Methodology I (4.00)']]
Reedley College,ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00),"[['CSCI 41 - Programming Concepts and Methodology II (4.00)'], ['ENGR 40 - Programming for Scientists and Engineers (4.00)']]"
Reedley College,"ECS 036C - Data Structures, Algorithms, & Programming (4.00) ",[['No Course Articulated']]
Reedley College,ECS 050 - Computer Organization & Machine-Dependent Programming (4.00),"[['CSCI 45 - Computer Organization and Assembly Language'], [' Programming (4.00)']]"
Reedley College,MAT 021A - Calculus (4.00),[['MATH 5A - Calculus I (5.00)']]
Reedley College,MAT 021B - Calculus (4.00),[['MATH 5B - Calculus II (4.00)']]
Reedley College,MAT 021C - Calculus (4.00),[['MATH 6 - Calculus III (5.00)']]
Reedley College,MAT 022A - Linear Algebra (3.00),[['MATH 17 - Differential Equations and Linear Algebra (5.00)']]
Reedley College,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00),[['BIOL 11A - Biology for Science Majors I (5.00)']]
Reedley College,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00),[['No Course Articulated']]
Reedley College,BIS 002A - Introduction to Biology: Essentials of Life on Earth (5.00),[['BIOL 11B - Biology for Science Majors II (5.00)']]
