San Bernardino Valley College,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 250 - Single Variable Calculus I (4.00)']]
San Bernardino Valley College,MATH 31B - Integration and Infinite Series (4.00),[['MATH 251 - Single Variable Calculus II (4.00)']]
San Bernardino Valley College,MATH 32A - Calculus of Several Variables (4.00),[['MATH 252 - Multivariable Calculus (5.00)']]
San Bernardino Valley College,MATH 32B - Calculus of Several Variables (4.00),[['MATH 252 - Multivariable Calculus (5.00)']]
San Bernardino Valley College,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 265 - Linear Algebra (4.00)']]
San Bernardino Valley College,MATH 33B - Differential Equations (4.00),[['MATH 266 - Ordinary Differential Equations (4.00)']]
San Bernardino Valley College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHYSIC 202 - Physics I (4.00)', 'PHYSIC 203 - Physics II (4.00)', 'PHYSIC 204 - Physics III (4.00)']]"
San Bernardino Valley College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ","[['ENGL 101 - Freshman Composition (4.00)'], ['ENGL 101H - Freshman Composition - Honors (4.00)']]"
San Bernardino Valley College,One additional course in English composition,"[['ENGL 102 - Intermediate Composition and Critical Thinking (4.00)'], ['ENGL 102H - Intermediate Composition and Critical Thinking - Honors (4.00)'], ['ENGL 151 - Freshman Composition and Literature (3.00)']]"
San Bernardino Valley College,One course in computer programming: C++ preferred,"[['CS 190 - Programming in C++ (4.00)'], ['COM SCI 31 - Introduction to Computer Science I (4.00)']]"
