San Joaquin Delta College,"MATH 3A - Calculus with Applications, First Course (4.00)",[['MATH 1 - Calculus I (5.00)']]
San Joaquin Delta College,"MATH 3B - Calculus with Applications, Second Course (4.00)",[['MATH 2 - Calculus II (4.00)']]
San Joaquin Delta College,MATH 4A - Linear Algebra with Applications (4.00),[['MATH 5 - Linear Algebra (4.00)']]
San Joaquin Delta College,MATH 4B - Differential Equations (4.00),"[['MATH 4 - Differential Equations (4.00)'], [' Required for admission ']]"
San Joaquin Delta College,PHYS 1 - Basic Physics (4.00),"[['PHYSC 4A - Principles of Physics: Mechanics (4.00)'], [' Required for admission ']]"
San Joaquin Delta College,PHYS 2 - Basic Physics (4.00),"[['PHYSC 4A - Principles of Physics: Mechanics (4.00)', 'PHYSC 4B - Principles of Physics: Waves, Sound, and Thermodynamics (4.00)']]"
San Joaquin Delta College,PHYS 3 - Basic Physics (3.00) & PHYS 3L - Physics Laboratory (1.00),"[['PHYSC 4B - Principles of Physics: Waves, Sound, and', ' Thermodynamics (4.00)', 'PHYSC 4C - Principles of Physics: Electricity and Magnetism (4.00)']]"
San Joaquin Delta College,CMPSC 16 - Problem Solving with Computers I (4.00),[['CSP 31A - C++ Programming I (3.00)']]
San Joaquin Delta College,CMPSC 24 - Problem Solving with Computers II (4.00),"[['CSP 31B - C++ Programming II (3.00)', 'CSP 26B - Data Structures with Java (3.00)']]"
San Joaquin Delta College,CMPSC 40 - Foundations of Computer Science (5.00),[['CS 55 - Discrete Structures for Computer Science (3.00)']]
