Santa Rosa Junior College,MATH 31A - Differential and Integral Calculus (4.00),"[['MATH 1A - Calculus, First Course (5.00)']]"
Santa Rosa Junior College,MATH 31B - Integration and Infinite Series (4.00),"[['MATH 1B - Calculus, Second Course (5.00)']]"
Santa Rosa Junior College,MATH 32A - Calculus of Several Variables (4.00),"[['MATH 1C - Calculus, Third Course (4.00)']]"
Santa Rosa Junior College,MATH 32B - Calculus of Several Variables (4.00),"[['MATH 1C - Calculus, Third Course (4.00)']]"
Santa Rosa Junior College,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 5 - Introduction to Linear Algebra (4.00)']]
Santa Rosa Junior College,MATH 33B - Differential Equations (4.00),"[['MATH 2 - Calculus, Fourth Course - Differential Equations (3.00)']]"
Santa Rosa Junior College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,"[['PHYS 40 - Classical Mechanics for Scientists and Engineers (5.00)', 'PHYS 41 - Waves, Optics and Thermodynamics for Scientists & Engineers (4.00)', 'PHYS 42 - Electricity and Magnetism for Scientists and Engineers (4.00)']]"
Santa Rosa Junior College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ",[['ENGL 1A - College Composition (4.00)']]
Santa Rosa Junior College,One additional course in English composition,"[['ENGL 1B - Literature and Composition (3.00)'], ['ENGL 5 - Advanced Composition and Critical Thinking (3.00)']]"
Santa Rosa Junior College,One course in computer programming: C++ preferred,"[['CS 10A - Introduction to Programming Concepts and Methodologies'], [' (4.00)']]"
