Shasta College,ECS 020 - Discrete Mathematics For Computer Science (4.00),[['CIS 67 - Discrete Structures (3.00)']]
Shasta College,ECS 036A - Programming & Problem Solving (4.00),[['CIS 61 - C++ Language Programming (3.00)']]
Shasta College,ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00),"[['CIS 65 - Programming Concepts and Methodology Using C++ II'], ['CIS 62 - Java Programming (3.00)']]"
Shasta College,"ECS 036C - Data Structures, Algorithms, & Programming (4.00) ","[['No Course Articulated'], [' (3.00)']]"
Shasta College,ECS 050 - Computer Organization & Machine-Dependent Programming (4.00),"[['CIS 63 - Assembler Language Programming (4.00)'], ['CIS 66 - Computer Architecture and Organization (3.00)']]"
Shasta College,MAT 021A - Calculus (4.00),[['MATH 3A - Calculus 3A (4.00)']]
Shasta College,MAT 021B - Calculus (4.00),[['MATH 3B - Calculus 3B (5.00)']]
Shasta College,MAT 021C - Calculus (4.00),[['MATH 4A - Calculus 4A (4.00)']]
Shasta College,MAT 022A - Linear Algebra (3.00),[['MATH 6 - Linear Algebra (3.00)']]
Shasta College,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00),[['BIOL 1 - Principles of Biology (4.00)']]
Shasta College,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00),"[['BIOL 1 - Principles of Biology (4.00)', 'BOT 1 - General Botany (4.00)', 'ZOOL 1 - General Zoology (4.00)', ' Complete entire sequence at same institution prior to']]"
Shasta College,BIS 002A - Introduction to Biology: Essentials of Life on Earth (5.00),"[['BOT 1 - General Botany (4.00)', 'ZOOL 1 - General Zoology (4.00)', ' Complete entire sequence at same institution prior to']]"
