Shasta College,CSE 020 - Introduction to Computing I (2.00),[['No Course Articulated']]
Shasta College,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Shasta College,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),"[['CIS 61 - C++ Language Programming (3.00)'], ['CIS 62 - Java Programming (3.00)']]"
Shasta College,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MATH 3A - Calculus 3A (4.00)']]
Shasta College,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,[['MATH 3B - Calculus 3B (5.00)']]
Shasta College,MATH 023 - Vector Calculus (4.00),[['MATH 4A - Calculus 4A (4.00)']]
Shasta College,MATH 024 - Linear Algebra and Differential Equations (4.00),"[['MATH 4B - Differential Equations (4.00)', 'MATH 6 - Linear Algebra (3.00)']]"
Shasta College,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),[['PHYS 4A - Physics (Mechanics) (4.00)']]
Shasta College,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),"[['PHYS 4B - Physics (Electricity and Magnetism) (4.00)'], ['ADDITIONAL MAJOR PREPARATION COURSES']]"
Shasta College,CSE 015 - Discrete Mathematics (4.00),[['CIS 67 - Discrete Structures (3.00)']]
Shasta College,CSE 022 - Introduction to Programming (4.00),[['CIS 61 - C++ Language Programming (3.00)']]
Shasta College,CSE 024 - Advanced Programming (4.00),[['No Course Articulated']]
Shasta College,CSE 030 - Data Structures (4.00),"[['CIS 65 - Programming Concepts and Methodology Using C++ II'], [' (3.00)']]"
Shasta College,CSE 031 - Computer Organization and Assembly Language (4.00),[['CIS 63 - Assembler Language Programming (4.00)']]
Shasta College,ENGR 065 - Circuit Theory (4.00),"[['ENGR 17 - Circuits and Devices (4.00)'], ['BIOLOGICAL OR ENVIRONMENTAL SYSTEMS SCIENCE REQUIREMENT']]"
Shasta College,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['No Course Articulated']]
Shasta College,MATH 032 - Probability and Statistics (4.00),[['No Course Articulated']]
