Solano Community College,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 020 - Analytic Geometry and Calculus I (5.00)']]
Solano Community College,MATH 31B - Integration and Infinite Series (4.00),[['MATH 021 - Analytic Geometry and Calculus II (5.00)']]
Solano Community College,MATH 32A - Calculus of Several Variables (4.00),[['MATH 022 - Analytic Geometry and Calculus III (4.00)']]
Solano Community College,MATH 32B - Calculus of Several Variables (4.00),[['MATH 022 - Analytic Geometry and Calculus III (4.00)']]
Solano Community College,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 040 - Introduction to Linear Algebra (3.00)']]
Solano Community College,MATH 33B - Differential Equations (4.00),[['MATH 023 - Differential Equations (4.00)']]
Solano Community College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,[['PHYS 006 - Physics for Science and Engineering (5.00)']]
Solano Community College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ","[['ENGL 001 - College Composition (4.00)', 'PHYS 007 - Physics for Science and Engineering (5.00)', 'PHYS 008 - Physics for Science and Engineering (5.00)']]"
Solano Community College,One additional course in English composition,"[['ENGL 002 - Critical Thinking and Writing about Literature (4.00)'], ['ENGL 004 - Critical Thinking and Composition: Language in Context (4.00)'], ['PHIL 005 - Critical Thinking: The Philosophic Grounds of Literacy (3.00)']]"
Solano Community College,One course in computer programming: C++ preferred,"[['No Course Articulated'], ['COM SCI 31 - Introduction to Computer Science I (4.00)']]"
