Curriculum,CSU_Bakersfield,,,,,,,,,
Institution,"Bakersfield",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Precalculus I and II Combined","MATH","1040",,,,4,"","",14.0,10,4.0,0
2,"Single Variable Calculus I for Engineers","MATH","2310","1",,,4,"","",9.0,5,4.0,14
3,"Single Variable Calculus II for Engineers","MATH","2320","2",,,4,"","",5.0,1,4.0,4
4,"Linear Algebra I","MATH","2610","2",,,4,"","",3.0,0,3.0,0
5,"Physics for Scientists and Engineers I","PHYS","2210","2",,,4,"","",5.0,1,4.0,4
6,"Physics for Scientists and Engineers II","PHYS","2220","5;3",,,4,"","",4.0,0,4.0,0
7,"Linear Algebra I","MATH","2610","2",,,4,"","",3.0,0,3.0,0
8,"Programming I: Programming Fundamentals","CMPS","2010","1",,,4,"","",6.0,3,3.0,9
9,"Programming II: Data Structures and Algorithms","CMPS","2020","8;1",,,4,"","",3.0,0,3.0,0
10,"Discrete Structures","CMPS","2120","8;1",,,4,"","",3.0,0,3.0,0
11,"Computer Architecture I: Assembly Language Programming","CMPS","2240","8;1",,,4,"","",3.0,0,3.0,0
