Curriculum,CSU_Dominguez_Hills_Admissions,,,,,,,,,
Institution,"CSU_Dominguez_Hills",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Computer Scienceand Programming I","CSC","121","2;3",,,4,"","",7.0,4,3.0,24
2,"Introduction to Programming Concepts","CSC","115",,,,3,"","",8.0,5,3.0,0
3,"Pre-Calculus with Trigonometry with Lab","MAT","153",,,,4,"","",14.0,10,4.0,0
4,"Introduction to Computer Scienceand Programming II","CSC","123","1",,,4,"","",3.0,0,3.0,0
5,"Assembly Languageand Introduction to Computer
Organization ","CSC","221","1",,,3,"","",3.0,0,3.0,0
6,"Calculus I","MAT","191","3",,,5,"","",8.0,4,4.0,12
7,"Calculus II","MAT","193","6",,,5,"","",6.0,2,4.0,8
8,"Foundations of Higher Mathematics","MAT","271","7",,,3,"","",4.0,0,4.0,0
9,"Discrete Mathematics","MAT","281","3;1",,,3,"","",3.0,0,3.0,0
10,"General Physics I","PHYS","130","6",,,5,"","",5.0,1,4.0,4
11,"General Physics II","PHYS","132","7;10",,,5,"","",4.0,0,4.0,0
12,"C Language Programming and UNIX","CSC","251","1",,,3,"","",3.0,0,3.0,0
