Curriculum,CSU_Fullerton,,,,,,,,,
Institution,"CSU_Fullerton",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Programming","CPSC","120",,"2",,3,"","",10.0,5,5.0,15
2,"Precalculus","MATH","125",,,,5,"","",11.0,6,5.0,0
3,"Object-Oriented Programming","CPSC","121","1",,,3,"","",9.0,4,5.0,15
4,"Data Structures","CPSC","131","3",,,3,"","",8.0,3,5.0,15
5,"Computer Organization & Assembly Language","CPSC","240","4;6",,,3,"","",5.0,0,5.0,0
6,"Mathematical Structures I","MATH","170A",,,,3,"","",3.0,1,2.0,0
7,"Cybersecurity Foundations and Principles ","CPSC","253",,,,3,"","",1.0,0,1.0,0
8,"Python Programming","CPSC","233P","4",,,3,"","",5.0,0,5.0,0
9,"Calculus I","MATH","150A","10",,,4,"","",6.0,2,4.0,4
10,"Precalculus","MATH","125",,,,5,"","",7.0,3,4.0,0
11,"Calculus II","MATH","150B","9",,,0,"","",5.0,1,4.0,4
12," Mathematical Structure II","MATH","170B",,,,3,"","",1.0,0,1.0,0
13,"Stat Appl to NaturalSci","MATH","338","11",,,4,"","",4.0,0,4.0,0
14,"Elements of Biology","BIOL","101",,,,3,"","",3.0,1,2.0,0
15,"Elements of Biology Laboratory","BIOL","101L",,"14",,1,"","",2.0,0,2.0,0
16,"Cellular and Molecular Biology","BIOL","151",,,,4,"","",3.0,1,2.0,0
17,"Evolution and Organismal Biology","BIOL","152","16",,,4,"","",2.0,0,2.0,0
18,"Software Development with Open Source Systems","CPSC","254","4",,,3,"","",5.0,0,5.0,0
