Curriculum,San_Francisco_State_University,,,,,,,,,
Institution,"San Francisco State",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Pre-Calculus","MATH","199",,,,4,"","",12.0,8,4.0,0
2,"Calculus I","MATH","226","1",,,4,"","",11.0,7,4.0,19
3,"Calculus II","MATH","227","2",,,4,"","",6.0,2,4.0,8
4,"Probability and Statistics with Computing","MATH","324","3",,,4,"","",4.0,0,4.0,0
5,"General Physics with Calculus I","PHYS","220","2",,"6",3,"","",5.0,1,4.0,7
6,"General Physics with Calculus I Laboratory","PHYS","222",,,,1,"","",5.0,2,3.0,0
7,"General Physics with Calculus II","PHYS","230","5;3",,"8",3,"","",4.0,0,4.0,0
8,"General Physics with Calculus II Laboratory","PHYS","232",,,,1,"","",3.0,1,2.0,0
9,"Linear Algebra","MATH","325","2",,,3,"","",3.0,0,3.0,0
10,"Computer Programming","CSC","309","2",,,3,"","",5.0,1,4.0,4
11,"Introduction to Computer Programming","CSC","210",,,"12",3,"","",2.0,0,2.0,0
12,"Introduction to Software Lab","CSC","211",,,,1,"","",3.0,1,2.0,0
13,"Data Structures","CSC","220","10",,,3,"","",4.0,0,4.0,0
14,"Discrete Mathematical Structures for Computer Science","CSC","230",,,,3,"","",3.0,1,2.0,0
15,"Machine Structures","CSC","256","14",,,3,"","",2.0,0,2.0,0
