Curriculum,UCLA,,,,,,,,
Institution,UCLA,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,quarter,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Differential and Integral Calculus,MATH,31A,,,,4,,
2,Integration and Infinite Series,MATH,31B,1,,,4,,
3,Calculus of Several Variables,MATH,32A,1,,,4,,
4,Calculus of Several Variables,MATH,32B,2,,,4,,
5,Linear Algebra and Applications,MATH,33A,2,,,4,,
6,Differential Equations,MATH,33B,2,,,4,,
7,Physics for Scientists and Engineers: Mechanics,PHYSICS,1A,2;1,,3,5,,
8,"Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields",PHYSICS,1B,7;2;3,,4,5,,
9,"Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity",PHYSICS,1C,7,,5,5,,
10,Physics Laboratory for Scientists and Engineers: Mechanics,PHYSICS,4AL,7,,8,2,,
11,Software Construction,COMSCI,35L,12,,,4,,
12,Introduction to Computer Science I,COMSCI,31,,,,4,,
