Curriculum,CalPolySloActual,,,,,,,,,
Institution,"Cal Poly SLO",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Precalculus Algebra II","MATH","117",,,,3,"","",11.3,12,5.0,0
2,"Calculus I","MATH","141","1",,,4,"","",7.3,6,5.0,23
3,"Calculus II","MATH","142","2",,,4,"","",6.7,5,5.0,15
4,"Calculus III","MATH","143","3",,,4,"","",4.0,1,5.0,5
5,"Linear Algebra I","MATH","206","4",,,4,"","",3.3,0,5.0,0
6,"Introduction to Cell and Molecular Biology","BIO","161",,,,4,"","",0.7,0,1.0,0
8,"General Biology","BIO","111",,,,4,"","",0.7,0,1.0,0
9,"General Physics I","PHYS","141","2","3",,4,"","",4.7,2,5.0,18
10,"General Physics II","PHYS","142","9",,,4,"","",3.3,0,5.0,0
11,"General Physics III","PHYS","143","9",,,4,"","",3.3,0,5.0,0
12,"Fundamentals of Computer Science","CSC","101","1",,,4,"","",6.0,4,5.0,13
13,"Introduction to Computing","CSC","123",,,,4,"","",0.7,0,1.0,0
14,"Data Structures","CSC","202","12",,,4,"","",5.3,3,5.0,13
15,"Project-Based Object-Oriented Programming and Design","CSC","203","14",,,4,"","",4.0,1,5.0,5
16,"Introduction to Computer Organization","CSC","225","14",,,4,"","",2.7,0,4.0,0
17,"Discrete Structures","CSC","248","15;14",,,4,"","",3.3,0,5.0,0
