Curriculum,CSU_Fullerton,,,,,,,,,
Institution,"CSU Fullerton",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Programming","CPSC","120",,"2",,3,"","",26.0,19,7.0,65
2,"Precalculus","MATH","125",,,,5,"","",30.0,23,7.0,0
3,"Object-Oriented Programming","CPSC","121","1",,,3,"","",25.0,18,7.0,65
4,"Data Structures","CPSC","131","3",,,3,"","",24.0,17,7.0,65
5,"Python Programming","CPSC","223P","4",,,3,"","",5.0,0,5.0,0
6,"Computer Orgaization and Assembly Language","CPSC","240","4;7",,,3,"","",5.0,0,5.0,0
7,"Mathematical Structures I","MATH","170A",,,,3,"","",3.0,1,2.0,0
8,"Cybersecurity Foundations and Principles ","CPSC","253",,,,3,"","",1.0,0,1.0,0
9,"Calculus I","MATH","150A","2",,,4,"","",9.0,4,5.0,10
10,"Calculus II","MATH","150B","9",,,4,"","",8.0,3,5.0,10
11,"Mathematical Structures I","MATH","170A",,,,3,"","",1.0,0,1.0,0
12,"Mathematical Structures II","MATH","170B",,,,3,"","",5.0,2,3.0,0
13,"Statistics Applied to Natural Sciences","MATH","338","10",,,4,"","",7.0,2,5.0,10
14,"Elements of Biology","BIOL","101",,,,3,"","",3.0,1,2.0,0
15,"Elements of Biology Laboratory","BIOL","101L",,"14",,1,"","",2.0,0,2.0,0
16,"Cellular and Molecular Biology","BIOL","151",,,,4,"","",3.0,1,2.0,0
17,"Evolution and Organismal Biology","BIOL","152","16",,,4,"","",2.0,0,2.0,0
18,"Professional Ethics in Computing","CPSC","315","4",,,3,"","",5.0,0,5.0,0
19,"Compilers and Languages","CPSC","323","4",,,3,"","",5.0,0,5.0,0
20,"File Structures and Database Systems","CPSC","332","4",,,3,"","",7.0,1,6.0,6
21," Algorithm Engineering","CPSC","335","4;12",,,3,"","",7.0,1,6.0,9
22,"Operating Systems Concepts","CPSC","351","4",,,3,"","",7.0,1,6.0,6
23,"Foundations of Software Engineering","CPSC","362","4",,,3,"","",9.0,2,7.0,7
24,"Computer Communications","CPSC","471","22",,,3,"","",6.0,0,6.0,0
25," Artificial Intelligence","CPSC","481","13;21",,,3,"","",6.0,0,6.0,0
26,"Undergraduate Seminar in Computer Science","CPSC","490","23",,,3,"","",8.0,1,7.0,7
27,"Senior Capstone Project in Computer Science","CPSC","491","26",,,3,"","",7.0,0,7.0,0
28,"Software Development with Open Source Systems","CPSC","254","4",,,3,"","",5.0,0,5.0,0
29,"Web Front-End Engineering","CPSC","349","4",,,3,"","",5.0,0,5.0,0
30,"Introduction to Data Science and Big Data","CPSC","375","4;13",,,3,"","",5.0,0,5.0,0
31,"Mobile Device Application Programming","CPSC","411","4",,,3,"","",5.0,0,5.0,0
32,"Database and Applications","CPSC","431","20",,,3,"","",6.0,0,6.0,0
