Curriculum,CSU_Los_Angeles,,,,,,,,,,,,
Institution,CSU Los Angeles,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Precalculus: Functions and Trigonometry,MATH,1040,,,,6,,,34.0,27,7.0,0
2,Calculus I,MATH,2110,1,34,,4,,,21.0,15,6.0,94
3,Calculus II,MATH,2120,2,35,,4,,,7.0,2,5.0,14
4,Introduction to Linear Algebra,MATH,2550,3,,,3,,,6.0,1,5.0,14
5,General Physics I: Mechanics,PHYS,2100,2,,,5,,,7.0,2,5.0,10
6,Introduction to College Writing,ENGL,1004,,,,3,,,11.0,5,6.0,0
7,Accelerated College Writing,ENGL,1010,6,,,3,,,10.0,4,6.0,6
8,Introduction to Technical Writing,ENGL,2030,7,,,3,,,9.0,3,6.0,6
9,Introduction to Higher Education for Computer Science Majors,CS,1010,,,,3,,,29.0,22,7.0,0
10,Introduction to Relational Databases,CS,1222,9,,,3,,,4.0,1,3.0,3
11,Introduction to Programming I,CS,2011,9;1,,,4,,,27.0,20,7.0,262
12,Introduction to Programming II,CS,2012,11,,,4,,,23.0,16,7.0,164
13,Programming with Data Structures,CS,2013,12,,,4,,,22.0,15,7.0,164
14,Discrete Structures,CS,2148,11;2,,,4,,,15.0,9,6.0,148
15,Introduction to Computer Systems,CS,2445,11,,,3,,,9.0,3,6.0,12
16,Fundamentals of Network Systems and Cybersecurity,CS,2470,11,,,3,,,9.0,3,6.0,12
17,Programming Paradigms,CS,3035,13,,,3,,,9.0,2,7.0,14
18,Analysis of Algorithms,CS,3112,13;14,,,3,,,14.0,7,7.0,198
19,Introduction to Automata Theory,CS,3186,13;14,,,3,,,9.0,2,7.0,38
20,Web and Internet Programming,CS,3220,13;10,,,4,,,5.0,0,5.0,0
21,Software Engineering,CS,3337,13,,8,3,,,9.0,2,7.0,20
22,Societal and Ethical Issues in Computing,CS,3801,13,,,3,,,9.0,2,7.0,14
23,Introduction to Operating Systems,CS,4440,13;15;16,,,3,,,9.0,2,7.0,38
24,Software Design Laboratory I,CS,4961,22;21;18;17;19,,23,3,,,8.0,1,7.0,162
25,Software Design Laboratory II,CS,4962,24,,,3,,,7.0,0,7.0,0
26,Computer Science Recapitulation,CS,4963,4;27,,,3,,,5.0,0,5.0,0
27,General Physics II: Electromagnetism and Circuits,PHYS,2200,5,,,5,,,6.0,1,5.0,10
28,Competitive Programming,CS,4112,18,,,3,,,6.0,0,6.0,0
29,Multimedia Software Systems,CS,4551,18,,,3,,,6.0,0,6.0,0
30,Introduction to 3D Computer Game Programming,CS,4555,18,,,3,,,6.0,0,6.0,0
31,Artificial Intelligence,CS,4660,18,,,3,,,6.0,0,6.0,0
32,Cryptography and Information Security,CS,4780,18,,,3,,,6.0,0,6.0,0
33,Computer Organization,EE,3445,13,,,3,,,5.0,0,5.0,0
34,Calculus I Workshop,MATH,2111,,,,1,,,22.0,16,6.0,0
35,Calculus II Workshop,MATH,2121,,,,1,,,7.0,3,4.0,0
