Curriculum,CSU_San_Marcos,,,,,,,,,,,,
Institution,CSU San Marcos,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Pre-Calculus,MATH,125,,,,4,,,28.0,21,7.0,0
2,"Calculus with Applications, I",MATH,160,1,,,5,,,27.0,20,7.0,79
3,"Calculus with Applications, II",MATH,162,2,,,4,,,8.0,3,5.0,9
4,"Calculus with Applications, III",MATH,160,3,,,4,,,4.0,0,4.0,0
5,Basic Discrete Mathmatics,MATH,270,2,,,3,,,9.0,4,5.0,10
6,Introduction to Mathematical Probability and Statistics,MATH,242,,,,4,,,3.0,1,2.0,0
7,Introduction to Linear Algebra,MATH,264,3,,,3,,,6.0,1,5.0,5
8,Computer Science I,CS,111,2,,,4,,,21.0,14,7.0,60
9,Computer Science II,CS,211,8,,,4,,,15.0,8,7.0,38
10,Assembly Language and Digital Circuits,CS,231,8,,,4,,,13.0,6,7.0,18
11,Social Issues and Professional Practices in Computing: Activities and Lab ,CS,310L,8,,,1,,,4.0,0,4.0,0
12,Data Structures and Algorithms,CS,311,9,,,3,,,14.0,7,7.0,32
13,Computer Architecture,CS,331,10,,,3,,,9.0,2,7.0,7
14,Programming Languages,CS,351,5;13,,,3,,,8.0,1,7.0,12
15,Introduction to Software Engineering,CS,370,5;9;12,,,3,,,8.0,1,7.0,18
16,Operating Systems,CS,433,10;12,,,3,,,8.0,1,7.0,13
17,Introduction to Networking,CS,436,12,,,3,,,6.0,0,6.0,0
18,Fundamentals of Database Systems,CS,443,12,,,3,,,6.0,0,6.0,0
19,Introduction to Artificial Intelligence,CS,471,6;14,,,3,,,7.0,0,7.0,0
20,Capstone Project,CS,490,15,,,1,,,7.0,0,7.0,0
21,Introduction to Computer Security,CS,452,16,,,3,,,7.0,0,7.0,0
22,Real-Time Concepts for Embedded Systems ,CS,435,10;12,,,3,,,6.0,0,6.0,0
23,Introduction to Optimization,MATH,480,7,,,3,,,5.0,0,5.0,0
